,index,question,answer,category,l2_category,meta_info,pid,output,extracted_choice,correct,model,condition,meta_model,Unnamed: 0,qid,answer_type,num_responses,answers,extracted_choices,confidences,mean_accuracy,std_accuracy,mean_confidence,std_confidence,accuracies,subject_agreements,agreement,human_qid,original_question
21,21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/21.jpg'}",21,D: Kids playing,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
27,27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/27.jpg'}",27,C: A soccer player is practicing ball control at the stadium.,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
33,33,"What kind of environment is depicted in the image?
Options: A: A historical site, B: A religious location, C: A residential area, D: A garden",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/33.jpg'}",33,A: A historical site,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
36,36,"What is the overall scene depicted in this image?
Options: A: A group of people ice skating on a frozen lake surrounded by snowy trees and hills, B: A small town during a winter snowfall with snow-covered buildings and trees, C: A busy city street during Christmas time with decorated buildings and light displays, D: A ski resort town with snowy mountains and ski lifts visible in the background",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/36.jpg'}",36,D: A ski resort town with snowy mountains and ski lifts visible in the background,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
38,38,"Which of the following best describes the view from the deck?
Options: A: A view of a forest, B: A view of the cityscape, C: A view of the mountains, D: A view of a body of water",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/38.jpg'}",38,"A: A view of a forest, B: A view of the cityscape, C: A view of the mountains, D: A view of a body of water

The best description of the view from the deck is:

A: A view of a forest",A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
40,40,"What type of scene is depicted in this image?
Options: A: A workspace, B: A beach vacation, C: A tropical restaurant, D: A desert oasis",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/40.jpg'}",40,B: A beach vacation,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
41,41,"What is the general theme of this image?
Options: A: Candy buffet, B: Ice cream sundae, C: Yogurt containers, D: Fruit desserts",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/41.jpg'}",41,"The general theme of this image is:

B: Ice cream sundae

The image shows two different ice cream containers, one labeled ""CHOKA BLOK"" with a cherry bomb brownie ice cream, and the other labeled ""CHOKA BLOK BILLIONAIRE SHORTCAKE"" with a similar ice cream but with chocolate chips. Both containers are designed to look like ice cream, indicating a theme related to ice cream and desserts.",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
43,43,"Based on the image, which statement best describes the likely purpose of the setting?
Options: A: A photoshoot for greeting cards, B: A scientific research site, C: A festive celebration, D: A picnic spot for a group of people",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/43.jpg'}",43,A: A photoshoot for greeting cards,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
45,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45,D: A man playing a guitar in front of a group of people,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
46,46,"Which image shows the highest sharpness?
Options: A: upper left, B: upper right, C: down left, D: down right",A,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/46.jpg'}",46,B: upper right,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
47,47,"What kind of weather is depicted in the picture?
Options: A: sunny, B: rainy, C: windy, D: snowy",C,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/47.jpg'}",47,"The image shows a person holding an umbrella, which suggests that it is raining or about to rain. The presence of the umbrella and the wet ground further support this conclusion. Therefore, the correct answer is:

B: rainy",B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
49,49,"Which image is more brightful?
Options: A: The first image, B: The second image, C: nan, D: nan",A,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/49.jpg'}",49,The first image,,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
50,50,"which image is more colorful?
Options: A: The first image, B: The second image, C: nan, D: nan",A,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/50.jpg'}",50,"The first image is more colorful. It features a vibrant scene of an American football game with players in blue and yellow uniforms, and a scoreboard showing a score of 25. The second image, on the other hand, shows a close-up of a textured red material, which is less colorful and more abstract. Therefore, the correct answer is:

A: The first image",A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
51,51,"what style is depicted in this image?
Options: A: impressionism, B: post-Impressionism, C: modernism, D: dadaism",D,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/51.jpg'}",51,"The style depicted in this image is D: dadaism. The surreal and bizarre elements, such as the zebra costume and the eerie mask, are characteristic of Dadaism, an art movement that emerged in the early 20th century. Dadaism often involved absurdity, irony, and a rejection of traditional artistic norms.",D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
53,53,"Which emotion is being depicted in this image?
Options: A: happiness, B: sadness, C: anger, D: loneliness",B,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/53.jpg'}",53,"The image depicts a cat with a sad expression, which suggests the emotion of sadness. Therefore, the correct answer is:

B: sadness",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
54,54,"Which term matches the picture?
Options: A: basket star, B: brittle star, C: nan, D: nan",A,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/54.jpg'}",54,"The correct answer is A: basket star.

A basket star is a type of sea anemone that has a distinctive, star-like structure made of numerous tentacles. The image shows a similar structure with a central brownish area surrounded by a network of white tentacles, which matches the description of a basket star.",A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
56,56,"What color dominates the logo seen on the wall?
Options: A: Red, B: Black and White, C: Yellow, D: Blue",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/56.jpg'}",56,A: Red,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
59,59,"What is the main color of the image?
Options: A: Red, B: Green, C: Black, D: White",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/59.jpg'}",59,C: Black,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
67,67,"What is the dominant color scheme in this image?
Options: A: White and blue, B: Blue and green, C: Brown and yellow, D: Pink and orange",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/67.jpg'}",67,B: Blue and green,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
68,68,"What is the overall mood or atmosphere of the image?
Options: A: Joyful and energetic, B: Intimate and cozy, C: Dark and gloomy, D: Serene and peaceful",A,coarse perception,image emotion,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/68.jpg'}",68,A: Joyful and energetic,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
69,69,"Which mood does this image convey?
Options: A: Sad, B: Anxious, C: Happy, D: Angry",D,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/69.jpg'}",69,B: Anxious,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
75,75,"What is the predominant feature of the forest in the image?
Options: A: The ground is dry and covered in brown dirt, B: The trees are all tall and bare with no leaves, C: The trees are covered in green ivy and climbing vines, D: The bark on the trees is white and peeling",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/75.jpg'}",75,"B: The trees are all tall and bare with no leaves,",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
76,76,"What is the main theme of the image?
Options: A: Bearded men, B: Bathroom hygiene, C: Royal monarchy, D: Home decor",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/76.jpg'}",76,A: Bearded men,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
78,78,"What is the color theme of the bathroom?
Options: A: Gray and white, B: Beige and white, C: Black and white, D: Brown and white",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/78.jpg'}",78,B: Beige and white,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
81,81,"What is the most frequent color shown in the image?
Options: A: White, B: Brown, C: Blue, D: Green",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/81.jpg'}",81,D: Green,D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
82,82,"What is the overall theme of the image?
Options: A: Fashion, B: Wildlife, C: Nature, D: Photography",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/82.jpg'}",82,D: Photography,D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
83,83,"What is the main object in the image?
Options: A: The guitar, B: The man, C: The woman, D: The person on stage",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/83.jpg'}",83,"The main object in the image is:

D: The person on stage",D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
89,89,"Which object is the most central in the image?
Options: A: Woman in white dress, B: Actor in a white dress on the red carpet at a festival, C: Refrigerator, D: Red Carpet",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/89.jpg'}",89,B: Actor in a white dress on the red carpet at a festival,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
94,94,"What is the color of the majority of objects in the image?
Options: A: White, B: Gray, C: Blue, D: Green",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/94.jpg'}",94,A: White,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
97,97,"Which mood does this image convey?
Options: A: Cozy, B: Anxious, C: Happy, D: Angry",C,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/97.jpg'}",97,C: Happy,C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
100,100,"Which is the main topic of the image
Options: A: A woman surfing, B: A man skiting, C: A man surfing, D: A woman skiting",C,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/100.jpg'}",100,"The main topic of the image is:

C: A man surfing",C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
101,101,"What is the dominant color of the room?
Options: A: White, B: Green, C: Blue, D: Red",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/101.jpg'}",101,C: Blue,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
108,108,"What is the relative position of the man and the child in this image?
Options: A: The man and the child are out of frame, B: The man is standing next to the child, C: The man is holding the child, D: The man is standing apart from the child",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/108.jpg'}",108,"B: The man is standing next to the child,",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
110,110,"Which of the following objects is the closest to the apple in the image?
Options: A: Grilled caramel apple crunch on tin foil, B: Small jar in the middle, C: White and black wax paper, D: None of the above",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/110.jpg'}",110,B: Small jar in the middle,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
111,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111,D: Blue,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
118,118,"What is the occasion depicted in the image?
Options: A: New Year's Eve celebration, B: Christmas Eve party, C: Birthday celebration, D: Wedding reception",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/118.jpg'}",118,B: Christmas Eve party,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
120,120,"How many police officers are in the image?
Options: A: 1, B: 0, C: 2, D: 3",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/120.jpg'}",120,A: 1,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
121,121,"What is the main activity happening in this image?
Options: A: A couple of men are playing soccer, B: A group of people are having a picnic in the park, C: Two men are playing cricket, D: A group of people are playing volleyball",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/121.jpg'}",121,"C: Two men are playing cricket,",C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
122,122,"What is the predominant feature in the image?
Options: A: Houses, B: The Sky, C: Mountains, D: Trees",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/122.jpg'}",122,A: Houses,A,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
123,123,"Where is the exit in the image?
Options: A: To the left of the green exit sign, B: To the right of the green exit sign, C: Behind the green exit sign with an arrow pointing to the left, D: Not visible in the image",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/123.jpg'}",123,C: Behind the green exit sign with an arrow pointing to the left,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
124,124,"Which is the main topic of the image
Options: A: Driving cars, B: Driving buses, C: A driving bus, D: A driving car",B,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/124.jpg'}",124,C: A driving bus,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
129,129,"What is the dominant color of the image?
Options: A: White, B: Brown, C: Gray, D: Green",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/129.jpg'}",129,A: White,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
132,132,"What is the predominant color in the image?
Options: A: White, B: Red, C: Blue, D: Silver",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/132.jpg'}",132,C: Blue,C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
151,151,"Does the picture show a mountainous landscape or a coastal landscape?
Options: A: Mountainous, B: Coastal, C: plain, D: basin",D,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/151.jpg'}",151,A: Mountainous,A,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
155,155,"Which category does this image belong to?
Options: A: oil painting, B: sketch, C: digital art, D: photo",B,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/155.jpg'}",155,C: digital art,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
172,172,"is this place crowded?
Options: A: yes, B: no, C: nan, D: nan",B,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/172.jpg'}",172,B: no,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
173,173,"The image displays which art style?
Options: A: watercolor, B: early renaissance, C: art nouveau, D: vector art",A,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/173.jpg'}",173,A: watercolor,A,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
175,175,"Can you identify the season in which the picture was taken?
Options: A: spring, B: summer, C: fall, D: winter",B,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/175.jpg'}",175,B: summer,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
185,185,"what style is this painting?
Options: A: ink wash painting, B: watercolor painting, C: gouache painting, D: pen and ink",B,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/185.jpg'}",185,B: watercolor painting,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
189,189,"What feeling is shown in this image?
Options: A: engaged, B: lonely, C: angry, D: supportive",B,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/189.jpg'}",189,B: lonely,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
191,191,"Which art style is showcased in this image?
Options: A: depth of field, B: pencil, C: vector art, D: Baroque",B,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/191.jpg'}",191,B: pencil,B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
193,193,"What art style is evident in this image?
Options: A: watercolor, B: photography, C: vector art, D: pencil",C,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/193.jpg'}",193,"The image features a stylized, geometric bird with clean lines and a lack of detailed textures, which is characteristic of vector art. Vector art is created using mathematical equations to define shapes and is typically used for scalable graphics. The other options (watercolor, photography, pencil) do not align with the clean, digital representation of the bird in the image. Therefore, the correct answer is:

C: vector art",C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
202,202,"what emotion does this emoji express?
Options: A: happy, B: sad, C: excited, D: angry",B,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/202.jpg'}",202,"The emoji expresses the emotion of sadness. The closed eyes and the overall expression suggest a feeling of being tired, content, or unwell, which is commonly associated with sadness. Therefore, the correct answer is:

B: sad",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
206,206,"What motion this image want to convey?
Options: A: happy, B: angry, C: sad, D: terrified",C,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/206.jpg'}",206,C: sad,C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
208,208,"What type of environment is depicted in the picture?
Options: A: home, B: shopping mall, C: street, D: forest",C,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/208.jpg'}",208,"The image depicts a street environment with people walking in front of a building with large doors and windows. This setting is typical of a city or urban area. Therefore, the correct answer is:

C: street",C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
224,224,"Which one is the correct caption of this image?
Options: A: A bunch of cars sitting still in the middle of a street, B: Two giraffes near a tree in the wild., C: Small personal bathroom with a tiny entrance door., D: An elephant drinking water while the rest of the herd is walking in dry grass.",D,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/224.jpg'}",224,"The correct caption for this image is:

D: An elephant drinking water while the rest of the herd is walking in dry grass.

This option accurately describes the scene where an elephant is drinking water in a dry, grassy area with other elephants in the background, typical of a savanna ecosystem.",D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
227,227,"Which of the following captions best describes this image?
Options: A: A person playing a guitar on a stage, B: A group of people dancing at a party, C: A singer performing on a microphone, D: A person playing a piano in a studio",B,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/227.jpg'}",227,"B: A group of people dancing at a party,",B,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
228,228,"Which category does this image belong to?
Options: A: MRI image, B: icon, C: microscopic image, D: abstract painting",D,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/228.jpg'}",228,D: abstract painting,D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
250,250,"What type of family is shown in the image?
Options: A: A family of all women, B: A family of mixed genders, C: A family of all men, D: A family of only children",D,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/250.jpg'}",250,B: A family of mixed genders,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
252,252,"What is the color of the sheep in the foreground?
Options: A: Black, B: Brown, C: White, D: Gray",B,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/252.jpg'}",252,C: White,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
256,256,"Which scene category matches this image the best?
Options: A: forest_path, B: museum/indoor, C: storage_room, D: alley",C,fine-grained perception,recognition,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/256.jpg'}",256,C: storage_room,C,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
264,264,"Which woman has dark hair in the image?
Options: A: Both women, B: The woman standing farther from the teddy bear, C: The woman standing closer to the teddy bear, D: Neither woman",A,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/264.jpg'}",264,C: The woman standing closer to the teddy bear,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
265,265,"How many gloves can be seen in this image?
Options: A: One, B: Two, C: Three, D: Four",C,fine-grained perception,object counting,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/265.jpg'}",265,B: Two,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
269,269,"What is the subject of the image?
Options: A: Green exit sign with an arrow pointing to the right, B: Sign of a toilet on the roof of a building, C: Green exit sign with a directional arrow, D: Green exit sign with an arrow pointing to the left",D,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/269.jpg'}",269,D: Green exit sign with an arrow pointing to the left,D,100.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
271,271,"What is the color of the shirt worn by the baseball player standing on the right side of the image?
Options: A: Blue, B: White, C: Black, D: Gray",B,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/271.jpg'}",271,D: Gray,D,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
272,272,"What is the primary surface of the playing field in the image?
Options: A: Asphalt, B: Sand, C: Artificial turf, D: Grass",C,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/272.jpg'}",272,"The primary surface of the playing field in the image is grass. This is evident from the lush green grass visible in the foreground, which is typical for soccer fields designed for playing on artificial turf or grass. The other options (asphalt, sand, and artificial turf) are not the primary surfaces for standard soccer fields.",,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
273,273,"How many dressers are visible in the image?
Options: A: nan, B: Three, C: Two, D: One",A,fine-grained perception,object counting,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/273.jpg'}",273,C: Two,C,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
281,281,"What shape is the ottoman in the living room?
Options: A: Square, B: Round, C: Rectangular, D: Oval",D,fine-grained perception,recognition,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/281.jpg'}",281,B: Round,B,0.0,InternVL3_5-1B,,open-source model,,,,,,,,,,,,,,,,
