qid,category,l2_category,question_en,options,answer_type,question_kr
423,fine-grained perception,recognition,"What is the shape of the object with an angel face and wings in the image?
 ","A: Egg-shaped 계란 모양, B: Square 정사각형, C: Round 원형, D: Star-shaped 별 모양",choice,이미지 속 천사 얼굴과 날개를 가진 물체의 모양은 무엇인가요?
250,fine-grained perception,object counting,"How many bananas are there in the image?
 ","A: 3 삼, B: 2 이, C: 4 사, D: 5 오",choice,이미지에 바나나가 몇 개 있나요?
129,coarse perception,image scene and topic,"What type of environment is depicted in the picture?
 ","A: home 집, B: shopping mall 쇼핑몰, C: street 거리, D: forest 숲",choice,사진에 묘사된 환경의 유형은 무엇입니까?
349,fine-grained perception,recognition,"Roughly how much of the picture is occupied by the two people on the bench in the picture?
 ","A: more than 50% 50% 이상, B: less than 30% 30% 미만, C: 0.8 0.8, D: more than 60% 60% 이상",choice,그 그림에서 벤치에 앉아 있는 두 사람이 차지하는 부분은 대략 얼마나 됩니까?
392,fine-grained perception,recognition,"What is the color of the shirt worn by a man playing the guitar?
 ","A: Blue 파란색, B: Black 검은색, C: Red 빨간색, D: White 흰색",choice,기타를 연주하는 남자가 입은 셔츠의 색은 무엇입니까?
384,fine-grained perception,recognition,"What is the color of the man's tie in the image?
 ","A: Blue 파란색, B: White 흰색, C: Black 검은색, D: Red 빨간색",choice,이미지 속 남자의 넥타이 색상은 무엇입니까?
502,instance reasoning,cross-instance attribute reasoning,"What's the function of the demonstrated object?
 ","A: baking 굽기, B: heating 가열, C: flavouring 향미 첨가, D: Pick-up 픽업",choice,시연된 물체의 기능은 무엇입니까?
552,instance reasoning,cross-instance relation reasoning,"What can be the relationship between the two persons in this image?
 ","A: Father and daughter 아버지와 딸, B: Mother and son 어머니와 아들, C: Brother and sister 형제자매, D: Husband and wife 남편과 아내",choice,이 이미지 속 두 사람 사이의 관계는 무엇일 수 있나요?
804,logical reasoning,common reasoning,"What will happen next?
 ","A: the motorcyle is gonna go forward, 오토바이가 앞으로 나아갈 것이다, B: the motorcyle is gonna crash, 오토바이가 충돌할 것이다, C: the motorcyle is gonna go backward, 오토바이가 뒤로 움직일 것이다, D: both A,B, and C A,B, 그리고 C 모두",choice,다음에 무슨 일이 일어날까요?
654,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
 ","A: mason 석공, B: postman 우체부, C: singer 가수, D: soldier 군인",choice,이 사진 속 사람들의 직업은 무엇인가요?
544,instance reasoning,cross-instance relation reasoning,"In nature, what's the relationship between these two creatures?
 ","A: Predatory relationships 포식 관계, B: Competitive relationships 경쟁 관계, C: Parasitic relationships 기생 관계, D: Symbiotic relationship 공생 관계",choice,자연에서 이 두 생물 사이의 관계는 무엇인가요?
529,instance reasoning,cross-instance attribute reasoning,"Which two objects are closest to each other?
 ","A: Soccer player and football team 축구 선수와 축구 팀, B: Soccer player and coach 축구 선수와 코치, C: Football player and politician 축구 선수와 정치인, D: Football player and coach 축구 선수와 코치",choice,서로 가장 가까운 두 물체는 무엇인가요?
85,coarse perception,image scene and topic,"What is the most prominent feature in the image?
 ","A: Sailboats, B: City skyline, C: Sky, D: Sun A: 요트, B: 도시 스카이라인, C: 하늘, D: 태양",choice,이미지에서 가장 두드러진 특징은 무엇인가요?
89,coarse perception,image scene and topic,"What is the overall scene depicted in this image?
 ","A: A group of people ice skating on a frozen lake surrounded by snowy trees and hills 눈 덮인 나무와 언덕으로 둘러싸인 얼어붙은 호수 위에서 아이스 스케이트를 타는 사람들, B: A small town during a winter snowfall with snow-covered buildings and trees 눈이 내리는 겨울의 작은 마을로 눈으로 덮인 건물과 나무들, C: A busy city street during Christmas time with decorated buildings and light displays 크리스마스 시즌에 장식된 건물과 조명이 화려한 분주한 도시 거리, D: A ski resort town with snowy mountains and ski lifts visible in the background 배경에 눈 덮인 산과 스키 리프트가 보이는 스키 리조트 마을",choice,이 이미지에 묘사된 전반적인 장면은 무엇입니까?
140,coarse perception,image scene and topic,"Which is the main topic of the image
 ","A: A woman is playing tennis 한 여성이 테니스를 치고 있다, B: A man is playing tennis 한 남성이 테니스를 치고 있다, C: A boy is playing soccer 한 소년이 축구를 하고 있다, D: A girl is playing volleyball 한 소녀가 배구를 하고 있다",choice,이미지의 주요 주제는 무엇입니까?
10,coarse perception,image emotion,"What is the overall mood or atmosphere of the image?
 ","A: Joyful and energetic 즐겁고 활기찬, B: Intimate and cozy 친밀하고 아늑한, C: Dark and gloomy 어둡고 음울한, D: Serene and peaceful 고요하고 평화로운",choice,그 이미지의 전반적인 분위기는 무엇인가요?
433,fine-grained perception,recognition,"What type of family is shown in the image?
 ","A: A family of all women 모든 여성으로 이루어진 가족, B: A family of mixed genders 성별이 혼합된 가족, C: A family of all men 모든 남성으로 이루어진 가족, D: A family of only children 아이들로만 이루어진 가족",choice,이미지에 어떤 유형의 가족이 보이나요?
587,instance reasoning,single-instance reasoning,"How many lamps are in the bedroom?
 ","A: One 하나, B: Two 둘, C: Three 셋, D: Four 넷",choice,침실에 램프가 몇 개 있나요?
227,fine-grained perception,localization,"Where is the seated person visible in the image?
 "," A: On the fence 울타리 위에, B: In the field 들판에, C: Outside the field 들판 밖에, D: Behind the bench 벤치 뒤에",choice,이미지에서 앉아 있는 사람이 보이는 곳은 어디인가?
430,fine-grained perception,recognition,"What shape is the ottoman in the living room?
 ","A: Square 정사각형, B: Round 원형, C: Rectangular 직사각형, D: Oval 타원형",choice,거실의 오토만은 어떤 모양입니까?
74,coarse perception,image scene and topic,"What is the main focus of this image?
 ","A: The grassy hill 잔디가 깔린 언덕, B: The sculpture 조각상, C: The fence 울타리, D: The building 건물",choice,이 이미지의 주된 초점은 무엇입니까?
281,fine-grained perception,object counting,"How many people are on stage?
 ",A: 2 두 명 B: 3 세 명 C: 4 네 명 D: 5 다섯 명,choice,무대에 몇 명이 있나요?
799,logical reasoning,common reasoning,"What type of vegetation is visible in the image?
 ","A: Trees only 나무만, B: A mix of trees and bushes 나무와 덤불의 혼합, C: Bushes only 덤불만, D: Grass 풀",choice,이미지에서 보이는 식생의 유형은 무엇입니까?
263,fine-grained perception,object counting,"How many drawers can be seen in the image?
 ","A: One 하나, B: Three 세 개, C: Two 두 개, D: Four 네 개",choice,이미지에서 보이는 서랍의 수는 몇 개입니까?
264,fine-grained perception,object counting,"How many drawers can be seen in the white kitchen?
 ","A: Three 세 개, B: Two 두 개, C: One 한 개, D: Four 네 개",choice,흰색 주방에서 보이는 서랍은 몇 개입니까?
29,coarse perception,image scene and topic,"Does the picture show a mountainous landscape or a coastal landscape?
 ","A: Mountainous 산악의, B: Coastal 해안의, C: plain 평야, D: basin 분지",choice,"그 그림은 산악 풍경인가요, 아니면 해안 풍경인가요?"
132,coarse perception,image scene and topic,"Where is the exit in the image?
 ","A: To the left of the green exit sign 녹색 출구 표지판의 왼쪽에, B: To the right of the green exit sign 녹색 출구 표지판의 오른쪽에, C: Behind the green exit sign with an arrow pointing to the left 왼쪽으로 향하는 화살표가 있는 녹색 출구 표지판 뒤에, D: Not visible in the image 이미지에 보이지 않음",choice,이미지 속 출구는 어디에 있나요?
436,fine-grained perception,recognition,"What type of pavement is the person with the dog walking on?
 ","A: Concrete 콘크리트, B: Brick 벽돌, C: Asphalt 아스팔트, D: Gravel 자갈",choice,개를 데리고 걷는 사람이 걷고 있는 포장 도로의 종류는 무엇인가요?
708,logical reasoning,code & sequence reasoning,"What will happen next?
 ","A: this person is gonna cry 이 사람이 울 거야, B: this person is gonna laugh 이 사람이 웃을 거야, C: this person is gonna get mad 이 사람이 화를 낼 거야, D: both A,B, and C A,B, 그리고 C 모두",choice,다음에 무슨 일이 일어날까요?
194,coarse perception,image style & quality,"what style is depicted in this image?
 ","A: impressionism 인상주의, B: post-Impressionism 후기 인상주의, C: modernism 모더니즘, D: dadaism 다다이즘",choice,이 이미지에 묘사된 스타일은 무엇입니까?
269,fine-grained perception,object counting,"How many horses are in the image?
 ","A: 1 일, B: 2 이, C: 4 사, D: 3 삼",choice,그 이미지에는 말이 몇 마리 있나요?
254,fine-grained perception,object counting,"How many buildings are present in the image?
 ","A: 1, B: 3, C: 2, D: 4 A: 일, B: 삼, C: 이, D: 사",choice,그 이미지에 건물이 몇 채 있나요?
419,fine-grained perception,recognition,"What is the primary color of the glove held by the player in the foreground?
 ","A: Black 검은색, B: Orange 주황색, C: Brown 갈색, D: Yellow 노란색",choice,전경에 있는 선수의 손에 들고 있는 장갑의 주된 색상은 무엇입니까?
228,fine-grained perception,localization,"Where is the snail located in the image?
 ","A: On a tree trunk, 나무 줄기 위에, B: On top of a mushroom, 버섯 위에, C: On a log, 통나무 위에, D: On a rock, 바위 위에",choice,그 이미지에서 달팽이는 어디에 있나요?
229,fine-grained perception,localization,"Where is the soccer ball located?
 ","A: On the ground in the bottom left corner, A: 왼쪽 아래 모서리의 바닥에, B: In the air in the top right corner, B: 오른쪽 위 구석의 공중에, C: On the ground in the bottom right corner, C: 오른쪽 아래 모서리의 바닥에, D: In the air in the top left corner, D: 왼쪽 위 구석의 공중에",choice,축구공은 어디에 있나요?
412,fine-grained perception,recognition,"What is the material of the boots that the woman is wearing in the image?
 ","A: Suede 스웨이드, B: Leather 가죽, C: Canvas 캔버스, D: Synthetic 합성 섬유",choice,이미지 속 여성이 신은 부츠의 소재는 무엇인가요?
159,coarse perception,image scene and topic,"Which term matches the picture?
 ","A: basket star 바구니 불가사리, B: brittle star 불가사리",choice,그 그림에 맞는 용어는 무엇입니까?
162,coarse perception,image style & quality,"The image displays which art style?
 ","A: watercolor 수채화, B: early renaissance 초기 르네상스, C: art nouveau 아르 누보, D: vector art 벡터 아트",choice,그 이미지에는 어떤 예술 양식이 나타나나요?
391,fine-grained perception,recognition,"What is the color of the sheep in the foreground?
 ","A: Black 검은색, B: Brown 갈색, C: White 흰색, D: Gray 회색",choice,전경에 있는 양의 색은 무엇입니까?
394,fine-grained perception,recognition,"What is the color of the shorts of the soccer player wearing a red and black uniform?
 ","A: White and black 흰색과 검은색, B: Yellow and green 노란색과 초록색, C: Black and white 검은색과 흰색, D: Blue and red 파란색과 빨간색",choice,빨간색과 검은색 유니폼을 입은 축구 선수의 반바지 색은 무엇입니까?
266,fine-grained perception,object counting,"How many gloves can be seen in this image?
 ","A: One 하나, B: Two 둘, C: Three 셋, D: Four 넷",choice,이 이미지에서 장갑은 몇 개 보이나요?
420,fine-grained perception,recognition,"What is the primary color of the shoes worn by the player closest to the camera?
 ","A: Yellow 노란색, B: Black 검은색, C: Gray 회색, D: Orange 주황색",choice,카메라에 가장 가까이 있는 선수의 신발의 주 색상은 무엇입니까?
144,coarse perception,image scene and topic,"Which object is the most central in the image?
 ","A: Woman in white dress, 하얀 드레스를 입은 여성 B: Actor in a white dress on the red carpet at a festival, 축제의 레드 카펫에서 흰 드레스를 입은 배우 C: Refrigerator, 냉장고 D: Red Carpet, 레드 카펫",choice,이미지에서 가장 중앙에 위치한 객체는 무엇인가?
145,coarse perception,image scene and topic,"Which of the following best describes the view from the deck?
 ","A: A view of a forest 숲의 경치, B: A view of the cityscape 도시 풍경, C: A view of the mountains 산의 경치, D: A view of a body of water 수역의 경치",choice,다음 중 데크에서 보이는 경치를 가장 잘 설명하는 것은 무엇입니까?
659,instance reasoning,single-instance reasoning,"Where is the lamp in the living room?
 ","A: On the coffee table, 커피 탁자 위에, B: On the windowsill, 창턱 위에, C: On the end table, 사이드 테이블 위에, D: On the floor, 바닥 위에",choice,거실에 있는 램프는 어디에 있나요?
660,instance reasoning,single-instance reasoning,"Where is the man playing the guitar located on the stage?
 ","A: Left side of the stage, A: 무대의 왼쪽, B: Middle of the stage, B: 무대의 중앙, C: Right side of the stage, C: 무대의 오른쪽, D: Behind the microphones, D: 마이크 뒤에",choice,무대에서 기타를 연주하는 남자는 어디에 위치해 있습니까?
31,coarse perception,image scene and topic,"How many police officers are in the image?
 ","A: 1 한 명, B: 0 명, C: 2 명, D: 3 명",choice,사진 속 경찰관은 몇 명인가요?
99,coarse perception,image scene and topic,"What is the predominant feature in the image?
 ","A: Houses 주택들, B: The Sky 하늘, C: Mountains 산들, D: Trees 나무들",choice,이미지에서 지배적인 특징은 무엇인가요?
61,coarse perception,image scene and topic,"What is the main feature in the background of the image?
 ","A: A park bench near the water. 물가 근처의 공원 벤치, B: A couple sitting on a bench. 벤치에 앉아 있는 커플, C: A body of water and the Golden Gate Bridge. 물의 몸체와 골든 게이트 다리, D: A mountain in the distance. 멀리 있는 산",choice,이미지의 배경에 있는 주요 특징은 무엇입니까?
37,coarse perception,image scene and topic,"What is the center of focus in the image?
 ",A: A man writing in a book 한 남자가 책에 글을 쓰고 있다. B: A boy with his head in his hands surrounded by books 책들에 둘러싸인 채 손으로 머리를 받치고 있는 소년. C: A cluttered desk with books and a pen 책과 펜이 어질러진 책상. D: A stack of books covering a young man's face 젊은 남자의 얼굴을 가리고 있는 책 더미,choice,이미지의 초점은 어디인가요?
249,fine-grained perception,object counting,"How many balls are on the table?
 ","A: 6 6개, B: 4 4개, C: 5 5개, D: 3 3개",choice,탁자 위에 공이 몇 개 있나요?
353,fine-grained perception,recognition,"What color are the man's shoes?
 ","A: Gray 회색, B: Brown 갈색, C: Blue 파란색, D: Black 검은색",choice,그 남자의 신발은 무슨 색인가요?
329,fine-grained perception,object counting,"How many women are sitting at the table in the image?
 ","A: One 한 명, B: Two 두 명, C: Four 네 명, D: Three 세 명",choice,이미지 속 탁자에 앉아 있는 여성은 몇 명입니까?
347,fine-grained perception,recognition,"Is there a person walking in the image?
 ","A: The image is too blurry to tell, A: 이미지는 판단하기에 너무 흐려서 알 수 없습니다, B: No, B: 아니오, C: There is more than one person walking, C: 보행 중인 사람이 두 명 이상 있습니다, D: Yes D: 예",choice,이미지 속에 걷고 있는 사람이 있나요?
247,fine-grained perception,object counting,"How many apples are there in the image? And how many bananas are there?
 ","A: 4 apples and 2 bananas 사과 4개와 바나나 2개, B: 3 apples and 3 banana 사과 3개와 바나나 3개, C: 2 apples and 4 bananas 사과 2개와 바나나 4개, D: 4 apples and 1 bananas 사과 4개와 바나나 1개",choice,그 이미지에는 사과가 몇 개 있나요? 그리고 바나나가 몇 개 있나요?
809,logical reasoning,common reasoning,"What's the profession of the people in this picture?
 ","A: trainer 트레이너, B: chemist 화학자, C: musician 음악가, D: pianist 피아니스트",choice,이 사진 속 사람들의 직업은 무엇입니까?
88,coarse perception,image scene and topic,"What is the occasion depicted in the image?
 "," A: New Year's Eve celebration, B: Christmas Eve party, C: Birthday celebration, D: Wedding reception A: 새해 전야제, B: 크리스마스 이브 파티, C: 생일 축하 파티, D: 결혼식 피로연",choice,사진에 묘사된 행사는 무엇인가요?
393,fine-grained perception,recognition,"What is the color of the shirt worn by the baseball player standing on the right side of the image?
 ","A: Blue 파란색, B: White 흰색, C: Black 검은색, D: Gray 회색",choice,이미지의 오른쪽에 서 있는 야구 선수가 입은 셔츠의 색상은 무엇입니까?
100,coarse perception,image scene and topic,"What is the predominant feature of the forest in the image?
 ","A: The ground is dry and covered in brown dirt 땅은 건조하고 갈색 흙으로 덮여 있다, B: The trees are all tall and bare with no leaves 나무들은 모두 키가 크고 잎이 없다, C: The trees are covered in green ivy and climbing vines 나무에는 녹색 아이비와 덩굴이 덮여 있다, D: The bark on the trees is white and peeling 나무 껍질이 흰색이고 벗겨져 있다",choice,사진 속 숲의 지배적인 특징은 무엇인가요?
113,coarse perception,image scene and topic,"What is the relative position of the man and the child in this image?
 ","A: The man and the child are out of frame 남자와 아이는 화면 밖에 있다, B: The man is standing next to the child 남자는 아이 옆에 서 있다, C: The man is holding the child 남자는 아이를 안고 있다, D: The man is standing apart from the child 남자는 아이와 떨어져 서 있다",choice,이 이미지에서 남자와 아이의 상대적 위치는 무엇입니까?
147,coarse perception,image scene and topic,"Which of the following captions best describes this image?
 ","A: A group of people sitting around a campfire 모닥불 주위에 앉아 있는 사람들, B: A person kayaking on a lake 호수에서 카약을 타는 사람, C: A family having a picnic in a park 공원에서 피크닉을 즐기는 가족, D: A person hiking on a mountain trail 산길에서 하이킹하는 사람",choice,다음 중 이 이미지를 가장 잘 설명하는 캡션은 무엇입니까?
397,fine-grained perception,recognition,"What is the color of the watch worn by a person in the image?
 ","A: White, B: Black, C: Silver, D: Gold A: 흰색, B: 검정색, C: 은색, D: 금색",choice,이미지 속 사람의 시계 색상은 무엇입니까?
360,fine-grained perception,recognition,"What color is the microphone in the image?
 "," A: Silver 은색, B: White 흰색, C: Black 검은색, D: Red 빨간색",choice,이미지 속 마이크의 색상은 무엇입니까?
315,fine-grained perception,object counting,"How many tables are there in the room?
 ","A: Four tables 네 개의 탁자, B: Two tables 두 개의 탁자, C: Three tables 세 개의 탁자, D: One table 한 개의 탁자",choice,방에 탁자가 몇 개 있나요?
307,fine-grained perception,object counting,"How many pillows can be seen in the bedroom?
 ","A: 5 5개, B: 4 4개, C: 3 3개, D: 6 6개",choice,침실에서 보이는 베개는 몇 개입니까?
260,fine-grained perception,object counting,"How many colors are the eyes of the depicted animals?
 ","  A: Two 두 가지, B: One 한 가지, C: Three 세 가지, D: Four 네 가지",choice,그려진 동물들의 눈은 몇 가지 색인가요?
431,fine-grained perception,recognition,"What type of ball is being held by the player?
 ","A: A tennis ball 테니스 공, B: A basketball 농구공, C: A volleyball 배구공, D: A soccer ball 축구공",choice,선수가 들고 있는 공의 종류는 무엇입니까?
212,fine-grained perception,localization,"What is the position of the person on stage?
 ","A: Standing on the left side 왼쪽에 서 있는 사람, B: Seated in the center 가운데에 앉아 있는 사람, C: Sitting on the floor in front 앞쪽 바닥에 앉아 있는 사람, D: Leaning on the guitar on the right side 오른쪽 편의 기타에 기대고 있는 사람",choice,무대 위에 있는 사람의 위치는 어디인가요?
219,fine-grained perception,localization,"Where is it?
 ","A: Shanghai 상하이, B: Xi'an 시안, C: Wuhan 우한, D: Nanjing 난징",choice,그것은 어디에 있나요?
386,fine-grained perception,recognition,"What is the color of the number on the red and blue jersey in the image?
 ","A: Blue 파란색, B: Red 빨간색, C: Orange 주황색, D: Black 검은색",choice,이미지 속 빨간색과 파란색 저지에 있는 숫자의 색상은 무엇입니까?
330,fine-grained perception,object counting,"How many wooden objects are in the image?
 ","A: 1, B: 2, C: 3, D: 4 A: 일, B: 이, C: 삼, D: 사",choice,이미지에 나무로 된 물체가 몇 개 있나요?
319,fine-grained perception,object counting,"How many tires can be seen in the image?
 ","A: 4 4개, B: 3 3개, C: 5 5개, D: 6 6개",choice,이미지에서 보이는 타이어의 개수는 몇 개입니까?
447,fine-grained perception,recognition,"Who is the person in this image?
 ","A: Kobe Bryant 코비 브라이언트, B: Jing Wu 징 우, C: Morgan Freeman 모건 프리먼, D: Jay Chou 제이 추",choice,이 이미지 속 인물은 누구입니까?
442,fine-grained perception,recognition,"Which scene category matches this image the best?
 ","A: forest_path 숲길, B: museum/indoor 박물관/실내, C: storage_room 저장실, D: alley 골목",choice,이 이미지에 가장 잘 맞는 장면 카테고리는 무엇입니까?
383,fine-grained perception,recognition,"What is the color of the lettering on the green sign in the image?
 ","A: Black 검은색, B: Blue 파란색, C: Yellow 노란색, D: White 흰색",choice,이미지의 초록색 표지판에 적힌 글자의 색은 무엇입니까?
375,fine-grained perception,recognition,"What is the color of the couch in the image?
 ","A: Beige 베이지색, B: Brown 갈색, C: Tan 탠색, D: Gray 회색",choice,이미지 속 소파의 색은 무엇입니까?
292,fine-grained perception,object counting,"How many people are present in the image?
 ","A: One 하나, B: Three 세, C: Two 두, D: Four 네",choice,이미지에 몇 명의 사람이 있나요?
401,fine-grained perception,recognition,"What is the color scheme of the costumes worn by the men in the parade?
 ","A: Yellow, red, and gold 노란색, 빨간색, 금색, B: Red, blue, and black 빨간색, 파란색, 검은색, C: Green, orange, and white 초록색, 주황색, 흰색, D: Black, white, and gray 검은색, 흰색, 회색",choice,행진에 참가한 남성들이 입은 의상의 색상 구성은 무엇입니까?
295,fine-grained perception,object counting,"How many people are standing on the stage in the image?
 ","A: One 한 명, B: More than three 네 명 이상, C: Three 세 명, D: Two 두 명",choice,이미지 속 무대 위에 몇 사람이 서 있습니까?
493,instance reasoning,cross-instance attribute reasoning,"What is the relative position of the man and woman in the image?
 ","A: They are facing each other 그들은 서로 마주 보고 있다, B: They are both facing forward 그들은 모두 앞으로 향해 있다, C: They are both facing the camera 그들은 모두 카메라를 향하고 있다, D: They are both looking away from the camera 그들은 모두 카메라를 등지고 있다",choice,이미지 속 남자와 여자의 상대 위치는 무엇입니까?
819,logical reasoning,diagram reasoning,"<image 1> is the HRM Roles, David Ulrich (1997) model. According to Ulrich, if HR is to become and remain relevant in the current business environment, what is not something HR professionals must learn?
 ","A: Manage human resources operations and infrastructure 인적 자원 운영 및 인프라 관리, B: Become the link between human resources and organizational strategy 인적 자원과 조직 전략 사이의 연결고리가 된다, C: Optimize the value of employees 직원의 가치를 최적화하다, D: Be a change agent with a long-term vision for the organization 조직에 대한 장기 비전을 가진 변화 주도자가 된다",choice,"질문: David Ulrich(1997)의 HRM 역할 모델에 따르면, HR이 현재의 비즈니스 환경에서 관련성을 유지하고 유지하려면 HR 전문가가 배워야 할 것이 아닌 것은 무엇입니까?"
919,logical reasoning,diagram reasoning,"Which month has the lowest average precipitation in London?
 ","A: July 7월, B: February 2월, C: November 11월, D: nan 없음",choice,런던에서 평균 강수량이 가장 낮은 달은 무엇입니까?
609,instance reasoning,single-instance reasoning,"What is the dominant material of the cabinets in the image?
 ","A: Ceramic 도자기, B: Metal 금속, C: Wood 목재, D: Glass 유리",choice,이미지 속 찬장의 주된 재료는 무엇인가요?
569,instance reasoning,cross-instance relation reasoning,"Which property do these three objects have in common?
 ","A: blue 파란색, B: smooth 매끄러운, C: flexible 유연한, D: nan 숫자가 아님",choice,이 세 물체가 공통으로 가지는 성질은 무엇입니까?
1247,science & technology,biology & chemistry & physics,"What is H in the diagram?
 ","A: pith 피스, B: protoxylem 원시목, C: cambium 형성층, D: metaxylem 메타목",choice,도표에서 H는 무엇입니까?
168,coarse perception,image style & quality,"Which category does this image belong to?
 ","A: MRI image MRI 영상, B: icon 아이콘, C: microscopic image 현미경 이미지, D: abstract painting 추상화",choice,이 이미지는 어떤 범주에 속하나요?
