,Unnamed: 0,qid,category,l2_category,question_en,options,answer_type,question_kr
10,10,180,coarse perception,image style & quality,Which image is more brightful? ,"A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan, D: nan",choice,어떤 이미지가 더 밝습니까?
11,11,405,fine-grained perception,recognition,What is the gender of the person playing the keyboard? ,"A: Multiple persons are playing the keyboard, 키보드를 연주하는 여러 명의 사람들, B: Female, 여성, C: Cannot determine due to insufficient information, 정보가 불충분하여 판단할 수 없습니다, D: Male, 남성",choice,키보드를 연주하는 사람의 성별은 무엇입니까?
12,12,48,coarse perception,image scene and topic,What is the dominant color of the room? ,"A: White, B: Green, C: Blue, D: Red A: 흰색, B: 초록색, C: 파란색, D: 빨간색",choice,방의 주된 색은 무엇인가요?
13,13,918,logical reasoning,diagram reasoning,Which letter shows the sun's position at morning time? ,"A: D 디, B: B 비, C: A 에이, D: C 씨",choice,아침에 태양의 위치를 나타내는 글자는 무엇입니까?
14,14,652,instance reasoning,single-instance reasoning,What's the profession of the people in this picture? ,"A: mason 석공, B: plumber 배관공, C: pilot 조종사, D: police 경찰",choice,이 사진 속 사람들의 직업은 무엇입니까?
15,15,771,logical reasoning,common reasoning,Is the man wearing a hat? ,"A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes A: 그의 머리에 디자인이 있지만 모자는 없다, B: 아니요, C: 확정할 수 없다, D: 예",choice,그 남자가 모자를 쓰고 있나요?
16,16,886,logical reasoning,diagram reasoning,Think about the magnetic force between the magnets in each pair. Which of the following statements is true? ,"A: The magnitude of the magnetic force is greater in Pair 2., B: The magnitude of the magnetic force is greater in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan A: 두 페어 중 자기력의 크기가 더 큰 쪽은 페어 2이다., B: 두 페어 중 자기력의 크기가 더 큰 쪽은 페어 1이다., C: 두 페어의 자기력의 크기는 같다., D: nan",choice,자석들 사이의 자기력에 대해 생각해 보십시오.
17,17,1419,science & technology,geography & earth science & agriculture,Which part of the diagram is above sea level? ,"A: B, B: G, C: C, D: A A: 비, B: 지, C: 씨, D: 에이",choice,도면의 어느 부분이 해수면 위에 있나요?
18,18,1335,science & technology,electronics & energy & mechanical eng.,Assume for the common-emitter circuit shown in <image 1> we have the following numerical values for a germanium transistor. $V_{BB}$ = + 15V  $V_{CC}$ = + 15V  $V_{BE}$ = 0.3V $R_C$ = 4k$\Omega$ $R_E$ = 600$\Omega$ $\beta $ = 60. What value of RB is required to set VCE to 8 V? ,"A: 551 551, B: Other Answers 다른 답변들, C: nan 숫자가 아님, D: nan 숫자가 아님",choice,다음에 나타난 공통 이미터 회로를 가정하시오.
19,19,885,logical reasoning,diagram reasoning,Think about the magnetic force between the magnets in each pair. Which of the following statements is true? ,"A: The magnetic force is weaker in Pair 2. 쌍 2에서 자기력이 더 약하다., B: The strength of the magnetic force is the same in both pairs. 두 쌍 모두에서 자기력의 크기는 같다., C: The magnetic force is weaker in Pair 1. 쌍 1에서 자기력이 더 약하다., D: nan 나노",choice,자석 사이의 자기력에 대해 생각해 보세요.
20,20,719,logical reasoning,code & sequence reasoning,what python code is gonna generate the result as shown in the image? ,"A: thisdict = {\n ""brand"": ""Ford"",\n ""model"": ""Mustang"",\n ""year"": 1966\n }\n print(thisdict), 이 코드는 딕셔너리를 생성하고 출력한다., B: thisdict = {\n ""brand"": ""Ford"",\n ""model"": ""Mustang"",\n ""year"": 1966\n }\n print(thisdict[\""brand\""]), 이 코드는 딕셔너리를 생성한 뒤 'brand' 키의 값을 출력한다., C: thisdict = {\n ""brand"": ""Ford"",\n ""electric"": False,\n ""year"": 1966,\n ""colors"": [\""red\"", \""white\"", \""blue\""]\n }\n \n print(thisdict), 이 코드는 딕셔너리를 생성하고 출력한다., D: thisdict = dict(name = \""John\"", age = 38, country = \""Norway\"")\n \n print(thisdict) 이 코드는 dict()를 이용해 딕셔너리를 생성하고 출력한다.",choice,결과를 생성할 파이썬 코드는 무엇인가요?
21,21,490,instance reasoning,cross-instance attribute reasoning,What is the relative position of the brown horse to the man in the image? ,"A: The horse is behind the man, 말은 남자 뒤에 있다, B: The horse is in front of the man, 말은 남자 앞에 있다, C: The horse is under the man, 말은 남자 아래에 있다, D: The horse is beside the man, 말은 남자 옆에 있다",choice,갈색 말의 상대 위치는 무엇입니까?
22,22,927,logical reasoning,diagram reasoning,which of the label show maximum leaf ,"A: j 제이, B: k 케이, C: h 에이치, D: g 지",choice,레이블 중 어떤 것이 최대 잎을 보여주나요?
23,23,515,instance reasoning,cross-instance attribute reasoning,Which of the following statements match the image? ,"A: A gray circle is to the left of a cyan shape. 회색 원이 시안색 도형의 왼쪽에 있다., B: A cyan square is to the left of a gray circle. 시안색 정사각형이 회색 원의 왼쪽에 있다., C: A cyan ellipse is to the right of a gray circle. 시안색 타원형이 회색 원의 오른쪽에 있다., D: A cyan circle is to the right of a circle. 시안색 원이 원의 오른쪽에 있다.",choice,다음 진술들 중 이미지와 일치하는 것은 무엇입니까?
24,24,39,coarse perception,image scene and topic,What is the color theme of the bathroom? ,"A: Gray and white 회색과 흰색, B: Beige and white 베이지색과 흰색, C: Black and white 검은색과 흰색, D: Brown and white 갈색과 흰색",choice,욕실의 색상 테마는 무엇입니까?
25,25,1394,science & technology,geography & earth science & agriculture,What stage has a speed of 1670 km/hr? ,"A: none of the above, B: B, C: C, D: A A: 위의 어느 것도 아니다, B: B, C: C, D: A",choice,시속 1670km인 어떤 단계가 있나요?
26,26,138,coarse perception,image scene and topic,Which is the main topic of the image ,"A: A boy skiting 소년이 스케이트를 타고 있는, B: A girl skiting 소녀가 스케이트를 타고 있는, C: A man skiting 남자가 스케이트를 타고 있는, D: A woman skiting 여성이 스케이트를 타고 있는",choice,이미지의 주요 주제는 무엇인가요?
27,27,1095,math,statistical reasoning,"<image 1> Ten individuals went on a low-fat diet for 12 weeks to lower their cholesterol. The data are recorded in Table 10.20. At the 5% significance level, do you think that their cholesterol levels were significantly lowered? ","A: there is insufficient evidence to conclude that the medication lowered cholesterol levels after 12 weeks, 약물이 12주 후 콜레스테롤 수치를 낮췄다는 결론에 충분한 증거가 없다 B: there is sufficient evidence to conclude that the medication lowered cholesterol levels after 12 weeks, 약물이 12주 후 콜레스테롤 수치를 낮췄다는 결론에 충분한 증거가 있다 C: not certain, 확실하지 않다 D: nan 숫자가 아님(nan)",choice,10명이 저지방 식이를 시작했다.
28,28,226,fine-grained perception,localization,Where is the person in the Alice in Wonderland costume located? ,"A: In the middle of the image 이미지의 중앙에, B: Close to the right side of the image 이미지의 오른쪽 가장자리 근처에, C: Close to the left side of the image 이미지의 왼쪽 가장자리 근처에, D: At the bottom of the image 이미지의 하단에",choice,이상한 나라의 앨리스에서 그 사람은 어디에 있나요?
29,29,1373,science & technology,geography & earth science & agriculture,What comes after the full moon? ,"A: waning cresent 하현초승달, B: 3rd quarter 하현달, C: waning Gibbous 하현망달, D: new moon 신월",choice,보름달 다음에 오는 것은 무엇인가요?
30,30,498,instance reasoning,cross-instance attribute reasoning,What is the relative position of the two people playing guitars? ," A: They are standing next to each other against a wall, 그들은 벽에 기대어 서로 나란히 서 있다, B: They are sitting on opposite sides of a table, 탁자 양쪽에 앉아 있다, C: They are sitting facing each other next to a window, 창가 옆에서 서로 마주 보고 앉아 있다, D: They are standing far away from each other on a stage, 무대 위에서 서로 멀리 떨어져 서 있다",choice,두 사람의 상대적인 위치는 무엇입니까?
31,31,341,fine-grained perception,recognition,How can you best describe the pillow on the chair? ,"A: Plain white 흰색, B: Colorful and striped 다채롭고 줄무늬가 있는, C: Solid blue 단색 파란색, D: Floral pattern 꽃무늬",choice,의자 위의 베개를 가장 잘 설명하는 방법은 무엇입니까?
32,32,1236,science & technology,biology & chemistry & physics,Think about the magnetic force between the magnets in each pair. Which of the following statements is true? , A: The magnitude of the magnetic force is smaller in Pair 2. 쌍 2에서 자기 힘의 크기가 더 작다. B: The magnitude of the magnetic force is smaller in Pair 1. 쌍 1에서 자기 힘의 크기가 더 작다. C: The magnitude of the magnetic force is the same in both pairs. 두 쌍의 자기 힘의 크기는 같다. D: nan,choice,자석 사이의 자기 힘에 대해 생각해 보세요.
33,33,721,logical reasoning,common reasoning,Approximately what proportion of the picture is occupied by the bus in the image? ,"A: 0.8 0.8, B: 1 1, C: 0.6 0.6, D: 0.3 0.3",choice,그림에서 대략 어느 비율이 차지합니까?
34,34,594,instance reasoning,single-instance reasoning,The object shown in this figure: ," A: Is a colorless and odorless gas, B: Has a boiling point of -161°C, C: Is a greenhouse gas that contributes to climate change, D: None of these options are correct. A: 무색이고 냄새가 없는 기체이다, B: 끓는점이 -161°C이다, C: 기후 변화에 기여하는 온실가스이다, D: 이 중 옳은 것은 없다.",choice,이 그림에 보이는 물체는:
35,35,813,logical reasoning,common reasoning,Which can be the associated text with this image posted on twitter ," A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, 만약 누군가가 슈퍼 마리오 메이커 2를 가지고 있다면 제 계정에 들러 제 레벨 중 몇 개를 플레이해 보세요. 이 레벨들 중 대부분은 4년에서 1년 전의 것들이에요, 다만 제가 작업 중인 슈퍼 월드가 있습니다!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, 2017년 10월 27일 발매된 닌텐도 스위치 소프트웨어 『슈퍼 마리오 오디세이』의 공식 계정입니다. 3D 마리오 최신작 『슈퍼 마리오 오디세이』에 관한 게임 정보나 공지를 디렉터 모토쿠라가 전합니다. ※질문·문의에는 답변하지 않으므로 양해 부탁드립니다., C: happy tears of the kingdom day!! #kirby #zelda, 왕국의 날에 행복한 눈물!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart, 7월에 다시 만나요 - 커비 갬블 갤럭시 스토리 #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart",choice,다음 이미지에 연결될 수 있는 텍스트는 무엇입니까?
36,36,588,instance reasoning,single-instance reasoning,How many people are in the car in the image? ,"A: Three, B: Five, C: Four, D: Six A: 세 명, B: 다섯 명, C: 네 명, D: 여섯 명",choice,이미지 속 자동차 안에 몇 명이 있나요?
37,37,151,coarse perception,image scene and topic,Which of the following objects is the closest to the apple in the image? ,"A: Grilled caramel apple crunch on tin foil 알루미늄 포일 위의 구운 카라멜 사과 크런치, B: Small jar in the middle 가운데 작은 병, C: White and black wax paper 흰색과 검은색 왁스페이퍼, D: None of the above 위의 어느 것도 아니다",choice,다음 중 어떤 물체가 가장 가까운가요?
38,38,1212,science & technology,biology & chemistry & physics,"In this food web, which organism contains matter that eventually moves to the earthworm? ","A: mushroom 버섯, B: barren-ground caribou 황무지 순록, C: parasitic jaeger 기생 재거, D: grizzly bear 그리즐리 곰",choice,이 먹이 그물에서 어떤 생물이 matt를 포함하고 있습니까?
39,39,214,fine-grained perception,localization,What is the position of the red rug in the living room? ," A: Under the couch, B: In front of the sliding glass door, C: Under the table, D: In the corner of the room A: 소파 아래에, B: 슬라이딩 유리문 앞에, C: 탁자 아래에, D: 방의 구석에",choice,거실에서 빨간색 양탄자의 위치는 어디인가요?
40,40,119,coarse perception,image scene and topic,What kind of environment is depicted in the image? ,"A: A historical site 역사적 장소, B: A religious location 종교적 장소, C: A residential area 주거 지역, D: A garden 정원",choice,이미지에 묘사된 환경은 어떤 종류입니까?
41,41,1220,science & technology,biology & chemistry & physics,"Select for the following pharmacokinetic phenomena <image 1> <image 2> <image 3>, the relevant optical representation. Transdermal absorption by active transport "," A: Graph 1 그래프 1, B: Graph 2 그래프 2, C: Graph 3 그래프 3, D: nan nan",choice,다음의 약동학적 표현형을 선택하십시오.
42,42,667,instance reasoning,single-instance reasoning,Which is a full grown plant? ,"A: d 디, B: b 비, C: c 씨, D: a 에이",choice,어떤 것이 완전히 자란 식물입니까?
43,43,472,instance reasoning,cross-instance attribute reasoning,What direction is Syria in the Mediterranean Sea? ,"  A: east, B: south, C: west, D: north A: 동, B: 남, C: 서, D: 북",choice,시리아는 지중해에서 어느 방향에 있습니까?
44,44,1385,science & technology,geography & earth science & agriculture,What is the name of the stage at letter B? ,"A: crescent moon, B: new moon, C: full moon, D: waxing gibbous A: 초승달, B: 신월, C: 보름달, D: 상현달",choice,문자 B에 해당하는 위상의 이름은 무엇입니까?
45,45,1397,science & technology,geography & earth science & agriculture,What stage of the Earth's orbit is shown at letter F? ," A: December Solstice 12월 동지, B: September Equinox 9월 추분, C: June Solstice 6월 하지, D: March Equinox 3월 춘분",choice,지구의 궤도에서 왼쪽에 표시된 단계는 무엇입니까?
46,46,1363,science & technology,electronics & energy & mechanical eng.,Think about the magnetic force between the magnets in each pair. Which of the following statements is true? ,"A: The magnitude of the magnetic force is the same in both pairs. 두 쌍에서 자기 힘의 크기는 같다., B: The magnitude of the magnetic force is greater in Pair 2. 쌍 2에서 자기 힘의 크기가 더 크다., C: The magnitude of the magnetic force is greater in Pair 1. 쌍 1에서 자기 힘의 크기가 더 크다., D: nan 숫자가 아님",choice,자석들 사이의 자기 힘에 대해 생각해 보세요.
47,47,193,coarse perception,image style & quality,what style is depicted in this image? ,"A: impressionism 인상주의, B: post-Impressionism 후기 인상주의, C: modernism 모더니즘, D: dadaism 다다이즘",choice,이 이미지에 묘사된 스타일은 무엇입니까?
48,48,531,instance reasoning,cross-instance attribute reasoning,which image is more colorful? ,"A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan nan, D: nan nan",choice,어떤 이미지가 더 다채롭습니까?
49,49,95,coarse perception,image scene and topic,What is the predominant color in the image? ,"A: White 흰색, B: Red 빨간색, C: Blue 파란색, D: Silver 은색",choice,이미지에서 지배적인 색상은 무엇입니까?
50,50,898,logical reasoning,diagram reasoning,What is the name of the colony shown? ,"A: New York, B: Connecticut, C: New Hampshire, D: Massachusetts A: 뉴욕 주, B: 코네티컷 주, C: 뉴햄프셔 주, D: 매사추세츠 주",choice,보여진 식민지의 이름은 무엇입니까?
51,51,437,fine-grained perception,recognition,Which can be the associated text with this image posted on twitter ,"A: Morning: Memeland Evening: Jay Chou 7 sold out nights in #hongkong #JayChou  아침: Memeland 저녁: Jay Chou 홍콩에서 매진된 7개의 밤 #hongkong #JayChou, B: We will be streaming our Mayday [ Live In the Sky ] online concert tomorrow night: http://bit.ly/YTBinMusic . We go on at 20:00 (GMT+8) May 31st. See you online then.  내일 밤 우리 Mayday [ Live In the Sky ] 온라인 콘서트를 스트리밍할 예정: http://bit.ly/YTBinMusic . 5월 31일 20:00 (GMT+8)에 시작합니다. 그때 온라인에서 뵙겠습니다., C: my little airport 🫶🏼  내 작은 공항 🫶🏼, D: Run to Victoria Harbor at night😅  밤에 빅토리아 하버로 달리기 😅",choice,다음 중 이 이미지와 연결될 수 있는 텍스트는 무엇입니까?
52,52,296,fine-grained perception,object counting,How many people are there in the image? ,"A: 0 0, B: 1 1, C: 2 2, D: 3 3",choice,이미지에 몇 명이 있나요?
53,53,169,coarse perception,image style & quality,Which category does this image belong to? ," A: MRI image MRI 이미지, B: icon 아이콘, C: microscopic image 현미경 이미지, D: abstract painting 추상화",choice,이 이미지는 어떤 범주에 속하나요?
54,54,627,instance reasoning,single-instance reasoning,What's the function of the demonstrated object? ,"A: display information in pictorial or textual form 그림이나 텍스트 형태로 정보를 표시, B: project images or videos onto a larger surface 더 큰 표면에 이미지나 비디오를 투사, C: watch TV shows TV 프로그램을 시청하다, D: display digital photos in a slideshow format. 디지털 사진을 슬라이드쇼 형식으로 표시",choice,시연된 물체의 기능은 무엇입니까?
55,55,334,fine-grained perception,recognition,Can you see a flag in the image? ,"A: Yes, it's in the middle of the frame, 네, 프레임의 중앙에 있습니다, B: Yes, it's close to the bottom left corner, 네, 프레임의 왼쪽 하단 모서리 쪽에 있습니다, C: No, there's no flag in the image, 아니요, 이미지에 깃발이 없습니다, D: Yes, it's to the right of the frame, 네, 프레임의 오른쪽에 있습니다",choice,이미지에서 깃발이 보이나요?
56,56,499,instance reasoning,cross-instance attribute reasoning,What is the relative position of the window to the shutters on the building in the image? ,"A: The window is above the shutters, 창문은 셔터 위에 있다, B: The window is on the same level as the shutters, 창문은 셔터와 같은 높이에 있다, C: The window is below the shutters, 창문은 셔터 아래에 있다, D: The window is to the left of the shutters, 창문은 셔터의 왼쪽에 있다",choice,창문이 셔터에 대해 어떤 상대적 위치에 있습니까?
57,57,171,coarse perception,image style & quality,Which category does this image belong to? ,"A: MRI image, B: icon, C: microscopic image, D: abstract painting A: MRI 이미지, B: 아이콘, C: 현미경 이미지, D: 추상화",choice,이 이미지는 어떤 범주에 속하나요?
58,58,1284,science & technology,biology & chemistry & physics,Which is the stem? ," A: None of these 이들 중 어느 것도 아니다, B: A A, C: B B, D: C C",choice,어떤 것이 줄기입니까?
59,59,724,logical reasoning,common reasoning,"Based on the lighting, what time of day does it appear to be in the image? ","A: Late afternoon, B: Morning, C: Evening, D: Night A: 늦은 오후, B: 아침, C: 저녁, D: 밤",choice,조명에 따라 어느 시간대인가요?
60,60,505,instance reasoning,cross-instance attribute reasoning,Which image is more brightful? ,"A: The first image 첫 번째 이미지, B: The second image 두 번째 이미지, C: nan, D: nan",choice,어떤 이미지가 더 밝습니까?
61,61,1333,science & technology,electronics & energy & mechanical eng.,"An acetal polymer block is fixed to the rigid plates at its top and bottom surfaces. If the top plate displaces 2 mm horizontally when it is subjected to a horizontal force P=2 kN, determine the shear modulus of the polymer. The width of the block is 100 mm. Assume that the polymer is linearly elastic and use small angle analysis. <image 1> ","A: 15 MPa, B: 5 MPa, C: 20 MPa, D: 2 MPa A: 15 MPa, B: 5 MPa, C: 20 MPa, D: 2 MPa",choice,강체에 고정된 아세탈 폴리머 블록
62,62,305,fine-grained perception,object counting,How many persons are playing guitar in the concert? ,"A: 1 1, B: 2 2, C: 3 3, D: 4 4",choice,콘서트에서 기타를 연주하는 사람은 몇 명입니까?
63,63,1171,math,statistical reasoning,"Kimpel Products makes pizza ovens for commercial use. James Kimpel, CEO, is contemplating producing smaller ovens for use in high school and college kitchens. The activities necessary to build an experimental model and related data are given in the following table: <image 1> What is the project completion date? ","A: Slacks are: 0, 2, 11, 0, 2, 11, 0 슬랙은: 0, 2, 11, 0, 2, 11, 0 B: Slacks are: 0, 3, 10, 0, 3, 10, 0 슬랙은: 0, 3, 10, 0, 3, 10, 0 C: Slacks are: 0, 4, 9, 0, 4, 9, 0 슬랙은: 0, 4, 9, 0, 4, 9, 0 D: Slacks are: 0, 5, 11, 0, 5, 11, 0 슬랙은: 0, 5, 11, 0, 5, 11, 0",choice,Kimpel Products는 상업용 피자 오븐을 제조합니다.
64,64,75,coarse perception,image scene and topic,What is the main object in the image? ,"A: The guitar 기타, B: The man 남자, C: The woman 여자, D: The person on stage 무대에 선 사람",choice,이미지에서 가장 중요한 사물은 무엇입니까?
65,65,149,coarse perception,image scene and topic,Which of the following captions best describes this image? ,"A: A person playing a guitar on a stage A: 무대에서 기타를 연주하는 사람, B: A group of people dancing at a party B: 파티에서 춤추는 사람들, C: A singer performing on a microphone C: 마이크 앞에서 노래하는 가수, D: A person playing a piano in a studio D: 스튜디오에서 피아노를 연주하는 사람",choice,다음 캡션 중 어떤 것이 가장 잘 설명합니까?
66,66,1047,math,numeric commonsense and calculation,A standing wave pattern is established in a string as shown. The wavelength of one of the component traveling waves is:<image 1> ,"A: 0.25 m, B: 0.5 m, C: 4 m, D: 2 m A: 0.25 m, B: 0.5 m, C: 4 m, D: 2 m",choice,현에서 정재파가 형성된다.
67,67,704,logical reasoning,code & sequence reasoning,What is correct Python code to generate the content of the image? ,"A: class Person:\n def __init__(self, fname, lname):\n self.firstname = fname\n self.lastname = lname\n\n def printname(self):\n print(self.firstname, self.lastname)\n\n#Use the Person class to create an object, and then execute the printname method:\n\nx = Person(\""John\"", \""Doe\"")\nx.printname()\n 한국어 설명: Person 클래스를 정의하고 객체를 만들어 printname 메서드를 호출하는 예제. , B: mystr = \""banana\""\nmyit = iter(mystr)\n\nprint(next(myit))\nprint(next(myit))\nprint(next(myit))\nprint(next(myit))\nprint(next(myit))\nprint(next(myit))  한국어 설명: 문자열에서 이터레이터를 생성하고 각 next() 호출로 문자를 차례로 출력하는 예제. , C: def my_function():\n print(\""Hello from a function\"")\n \nmy_function()\n 한국어 설명: 함수 정의 및 호출의 간단한 예제. , D: x = min(5, 10, 25)\ny = max(5, 10, 25)\n\nprint(x)\nprint(y)\n 한국어 설명: 최소값과 최대값을 구하고 출력하는 예제.",choice,다음은 co...를 생성하기 위한 올바른 Python 코드가 무엇인가요?
68,68,1253,science & technology,biology & chemistry & physics,What is represented by letter B? ,"A: Water 물, B: Light Energy 빛 에너지, C: Oxygen 산소, D: Carbon Dioxide 이산화탄소",choice,B로 표시된 것은 무엇을 나타내나요?
69,69,1283,science & technology,biology & chemistry & physics,Which is also known as the wind pipe? ,"A: e, B: b, C: a, D: c A: 이, B: 비, C: 에, D: 시",choice,다음 중 wind pipe로도 알려진 것은 무엇입니까?
70,70,11,coarse perception,image emotion,What motion this image want to convey? ,"A: happy 행복한, B: angry 화난, C: sad 슬픈, D: terrified 겁에 질린",choice,이 이미지가 전달하려는 동작은 무엇인가?
71,71,277,fine-grained perception,object counting,How many paintings are in the image? ,"A: 0, B: 2, C: 1, D: 3 A: 0, B: 2, C: 1, D: 3",choice,그 이미지에는 그림이 몇 점이나 있나요?
72,72,81,coarse perception,image scene and topic,What is the main theme of the image? ," A: Bearded men 수염 난 남자들, B: Bathroom hygiene 욕실 위생, C: Royal monarchy 왕정, D: Home decor 가정 장식",choice,이미지의 주요 주제는 무엇인가요?
73,73,1294,science & technology,biology & chemistry & physics,Which letter corresponds to the stage where two different daughter cells are formed? ," A: D 디, B: B 비, C: A 에이, D: C 씨",choice,어떤 문자가 tw... 단계에 해당합니까?
74,74,1227,science & technology,biology & chemistry & physics,The following ECG was obtained from a dog. What is your rhythm diagnosis? <image 1> ,"A: Ventricular preexcitation syndrome 심실 조기흥분 증후군, B: Ventricular fibrillation 심실세동, C: Sustained ventricular tachycardia 지속성 심실빈맥, D: Accelerated idioventricular rhythm 가속된 심실성 리듬",choice,다음 심전도는 개로부터 얻은 것입니다.
75,75,624,instance reasoning,single-instance reasoning,What's the function of the demonstrated object? ,"A: Separatist 분리주의자, B: Clamping 클램핑, C: drill 드릴, D: incise 절개",choice,시연된 물체의 기능은 무엇입니까...?
76,76,34,coarse perception,image scene and topic,What is happening in the image? ,"A: A football player is tackling a soccer player, 풋볼 선수가 축구 선수를 태클하고 있다, B: A soccer player is kicking a football, 축구 선수가 축구공을 차고 있다, C: A group of men are playing soccer, 여러 남자들이 축구를 하고 있다, D: A football player is dribbling the ball towards the goal, 풋볼 선수가 골대 방향으로 공을 드리블하고 있다",choice,이미지에서 무슨 일이 일어나고 있나요?
77,77,1422,science & technology,geography & earth science & agriculture,Which planet is depicted by label G? ,"A: Mars, B: Venus, C: Earth, D: Mercury A: 화성, B: 금성, C: 지구, D: 수은",choice,레이블 G로 표시된 행성은 무엇입니까?
78,78,415,fine-grained perception,recognition,What is the name of the place shown? ,"A: Virginia 버지니아, B: Michigan 미시간, C: Kentucky 켄터키, D: Maryland 메릴랜드",choice,제시된 장소의 이름은 무엇입니까?
79,79,1231,science & technology,biology & chemistry & physics,The organelle labeled D is called ,"A: Cell membrane, B: Cytoplasm, C: Nuclear membrane, D: Cytoskeleton A: 세포막, B: 세포질, C: 핵막, D: 세포골격",choice,D로 표시된 소기관의 이름은 무엇입니까?
80,80,810,logical reasoning,common reasoning,Where is the woman holding her belly in the image? ,"A: With both hands 양손으로, B: With her right hand 오른손으로, C: With her left hand 왼손으로, D: She's not holding her belly 그녀는 배를 들고 있지 않다",choice,이미지에서 여자가 배를 들고 있는 위치는 어디인가요?
81,81,553,instance reasoning,cross-instance relation reasoning,What is the most curved beak species? ,"A: iiki, B: swallow-tanager, C: cliff swallow, D: hawfinch A: 아이키, B: 제비-탄가르새, C: 절벽제비, D: 큰부리딱새",choice,가장 곡선 모양의 부리를 가진 종은 무엇입니까?
82,82,808,logical reasoning,common reasoning,What will happen next? ,"A: this person is gonna cry, 이 사람이 울 것 같다, B: this person is gonna laugh, 이 사람이 웃을 것 같다, C: this person is gonna get mad, 이 사람이 화가 날 것이다, D: both A,B, and C, A, B, 및 C 모두",choice,다음에 무슨 일이 일어날까요?
83,83,585,instance reasoning,single-instance reasoning,How is the model's leg positioned in the image? ,"A: Crossed, B: Straight, C: Raised, D: Bent A: 교차된, B: 직선의, C: 올려진, D: 구부린",choice,이미지에서 모델의 다리는 어떻게 위치하고 있나요?
84,84,562,instance reasoning,cross-instance relation reasoning,Which group has a notched outline? ,"A: A, B: D, C: B, D: C A: 에이, B: 디, C: 비, D: 씨",choice,어떤 그룹이 홈이 파인 윤곽선을 가지고 있나요?
