,model,category,l2_category,question_id,,blind,inst blind,Acc_Visual,Acc_Blind_inst,MG_Acc,Delta_Inst
36,InternVL3.5‑1B,coarse perception,image scene and topic,5,0.0,100.0,0.0,0.0,0.0,0.0,100.0
37,InternVL3.5‑1B,coarse perception,image scene and topic,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,InternVL3.5‑1B,coarse perception,image scene and topic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,InternVL3.5‑1B,coarse perception,image scene and topic,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,InternVL3.5‑1B,coarse perception,image scene and topic,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,InternVL3.5‑1B,coarse perception,image scene and topic,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,InternVL3.5‑1B,coarse perception,image scene and topic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,InternVL3.5‑1B,coarse perception,image scene and topic,14,100.0,100.0,100.0,100.0,100.0,0.0,0.0
44,InternVL3.5‑1B,coarse perception,image scene and topic,15,100.0,100.0,100.0,100.0,100.0,0.0,0.0
45,InternVL3.5‑1B,coarse perception,image scene and topic,17,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
46,InternVL3.5‑1B,coarse perception,image scene and topic,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,InternVL3.5‑1B,coarse perception,image scene and topic,20,100.0,100.0,100.0,100.0,100.0,0.0,0.0
48,InternVL3.5‑1B,coarse perception,image scene and topic,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,InternVL3.5‑1B,coarse perception,image scene and topic,22,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
50,InternVL3.5‑1B,coarse perception,image scene and topic,24,100.0,0.0,0.0,100.0,0.0,100.0,0.0
51,InternVL3.5‑1B,coarse perception,image scene and topic,25,100.0,100.0,100.0,100.0,100.0,0.0,0.0
52,InternVL3.5‑1B,coarse perception,image scene and topic,26,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
53,InternVL3.5‑1B,coarse perception,image scene and topic,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,InternVL3.5‑1B,coarse perception,image scene and topic,28,100.0,100.0,0.0,100.0,0.0,100.0,100.0
55,InternVL3.5‑1B,coarse perception,image scene and topic,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,InternVL3.5‑1B,coarse perception,image scene and topic,30,100.0,100.0,100.0,100.0,100.0,0.0,0.0
57,InternVL3.5‑1B,coarse perception,image scene and topic,31,100.0,0.0,0.0,100.0,0.0,100.0,0.0
58,InternVL3.5‑1B,coarse perception,image scene and topic,32,100.0,0.0,0.0,100.0,0.0,100.0,0.0
59,InternVL3.5‑1B,coarse perception,image scene and topic,33,100.0,0.0,0.0,100.0,0.0,100.0,0.0
60,InternVL3.5‑1B,coarse perception,image scene and topic,34,100.0,100.0,0.0,100.0,0.0,100.0,100.0
61,InternVL3.5‑1B,coarse perception,image scene and topic,35,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
62,InternVL3.5‑1B,coarse perception,image scene and topic,36,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
63,InternVL3.5‑1B,coarse perception,image scene and topic,37,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
64,InternVL3.5‑1B,coarse perception,image scene and topic,38,100.0,0.0,0.0,100.0,0.0,100.0,0.0
65,InternVL3.5‑1B,coarse perception,image scene and topic,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,InternVL3.5‑1B,coarse perception,image scene and topic,40,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
67,InternVL3.5‑1B,coarse perception,image scene and topic,41,100.0,0.0,0.0,100.0,0.0,100.0,0.0
68,InternVL3.5‑1B,coarse perception,image scene and topic,43,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
69,InternVL3.5‑1B,coarse perception,image scene and topic,44,100.0,0.0,0.0,100.0,0.0,100.0,0.0
70,InternVL3.5‑1B,coarse perception,image scene and topic,45,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
71,InternVL3.5‑1B,coarse perception,image scene and topic,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,InternVL3.5‑1B,coarse perception,image scene and topic,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,InternVL3.5‑1B,coarse perception,image scene and topic,52,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
74,InternVL3.5‑1B,coarse perception,image scene and topic,54,100.0,0.0,0.0,100.0,0.0,100.0,0.0
75,InternVL3.5‑1B,coarse perception,image scene and topic,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,InternVL3.5‑1B,coarse perception,image scene and topic,56,100.0,0.0,0.0,100.0,0.0,100.0,0.0
77,InternVL3.5‑1B,coarse perception,image scene and topic,57,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
78,InternVL3.5‑1B,coarse perception,image scene and topic,58,100.0,0.0,0.0,100.0,0.0,100.0,0.0
79,InternVL3.5‑1B,coarse perception,image scene and topic,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,InternVL3.5‑1B,coarse perception,image scene and topic,60,0.0,100.0,0.0,0.0,0.0,0.0,100.0
81,InternVL3.5‑1B,coarse perception,image scene and topic,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,InternVL3.5‑1B,coarse perception,image scene and topic,63,100.0,0.0,0.0,100.0,0.0,100.0,0.0
83,InternVL3.5‑1B,coarse perception,image scene and topic,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,InternVL3.5‑1B,coarse perception,image scene and topic,65,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
85,InternVL3.5‑1B,coarse perception,image scene and topic,66,100.0,0.0,0.0,100.0,0.0,100.0,0.0
86,InternVL3.5‑1B,coarse perception,image scene and topic,67,100.0,0.0,0.0,100.0,0.0,100.0,0.0
87,InternVL3.5‑1B,coarse perception,image scene and topic,70,100.0,0.0,0.0,100.0,0.0,100.0,0.0
88,InternVL3.5‑1B,coarse perception,image scene and topic,71,100.0,0.0,0.0,100.0,0.0,100.0,0.0
89,InternVL3.5‑1B,coarse perception,image scene and topic,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,InternVL3.5‑1B,coarse perception,image scene and topic,74,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
91,InternVL3.5‑1B,coarse perception,image scene and topic,75,100.0,100.0,0.0,100.0,0.0,100.0,100.0
92,InternVL3.5‑1B,coarse perception,image scene and topic,76,100.0,0.0,0.0,100.0,0.0,100.0,0.0
93,InternVL3.5‑1B,coarse perception,image scene and topic,77,100.0,0.0,0.0,100.0,0.0,100.0,0.0
94,InternVL3.5‑1B,coarse perception,image scene and topic,78,100.0,0.0,0.0,100.0,0.0,100.0,0.0
95,InternVL3.5‑1B,coarse perception,image scene and topic,79,0.0,100.0,0.0,0.0,0.0,0.0,100.0
96,InternVL3.5‑1B,coarse perception,image scene and topic,80,100.0,100.0,100.0,100.0,100.0,0.0,0.0
97,InternVL3.5‑1B,coarse perception,image scene and topic,81,100.0,0.0,0.0,100.0,0.0,100.0,0.0
98,InternVL3.5‑1B,coarse perception,image scene and topic,82,100.0,100.0,0.0,100.0,0.0,100.0,100.0
99,InternVL3.5‑1B,coarse perception,image scene and topic,83,100.0,100.0,0.0,100.0,0.0,100.0,100.0
100,InternVL3.5‑1B,coarse perception,image scene and topic,84,100.0,0.0,0.0,100.0,0.0,100.0,0.0
101,InternVL3.5‑1B,coarse perception,image scene and topic,85,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
102,InternVL3.5‑1B,coarse perception,image scene and topic,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,InternVL3.5‑1B,coarse perception,image scene and topic,87,100.0,100.0,100.0,100.0,100.0,0.0,0.0
104,InternVL3.5‑1B,coarse perception,image scene and topic,88,100.0,0.0,0.0,100.0,0.0,100.0,0.0
105,InternVL3.5‑1B,coarse perception,image scene and topic,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,InternVL3.5‑1B,coarse perception,image scene and topic,90,100.0,0.0,0.0,100.0,0.0,100.0,0.0
107,InternVL3.5‑1B,coarse perception,image scene and topic,91,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
108,InternVL3.5‑1B,coarse perception,image scene and topic,93,100.0,0.0,0.0,100.0,0.0,100.0,0.0
109,InternVL3.5‑1B,coarse perception,image scene and topic,94,100.0,0.0,0.0,100.0,0.0,100.0,0.0
110,InternVL3.5‑1B,coarse perception,image scene and topic,96,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
111,InternVL3.5‑1B,coarse perception,image scene and topic,98,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
112,InternVL3.5‑1B,coarse perception,image scene and topic,99,100.0,0.0,0.0,100.0,0.0,100.0,0.0
113,InternVL3.5‑1B,coarse perception,image scene and topic,100,100.0,100.0,100.0,100.0,100.0,0.0,0.0
114,InternVL3.5‑1B,coarse perception,image scene and topic,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,InternVL3.5‑1B,coarse perception,image scene and topic,102,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
116,InternVL3.5‑1B,coarse perception,image scene and topic,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,InternVL3.5‑1B,coarse perception,image scene and topic,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,InternVL3.5‑1B,coarse perception,image scene and topic,105,100.0,0.0,0.0,100.0,0.0,100.0,0.0
119,InternVL3.5‑1B,coarse perception,image scene and topic,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,InternVL3.5‑1B,coarse perception,image scene and topic,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,InternVL3.5‑1B,coarse perception,image scene and topic,108,100.0,0.0,0.0,100.0,0.0,100.0,0.0
122,InternVL3.5‑1B,coarse perception,image scene and topic,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,InternVL3.5‑1B,coarse perception,image scene and topic,110,100.0,0.0,0.0,100.0,0.0,100.0,0.0
124,InternVL3.5‑1B,coarse perception,image scene and topic,111,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
125,InternVL3.5‑1B,coarse perception,image scene and topic,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,InternVL3.5‑1B,coarse perception,image scene and topic,113,100.0,100.0,100.0,100.0,100.0,0.0,0.0
127,InternVL3.5‑1B,coarse perception,image scene and topic,114,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
128,InternVL3.5‑1B,coarse perception,image scene and topic,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,InternVL3.5‑1B,coarse perception,image scene and topic,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,InternVL3.5‑1B,coarse perception,image scene and topic,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,InternVL3.5‑1B,coarse perception,image scene and topic,118,100.0,0.0,0.0,100.0,0.0,100.0,0.0
132,InternVL3.5‑1B,coarse perception,image scene and topic,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,InternVL3.5‑1B,coarse perception,image scene and topic,120,100.0,0.0,0.0,100.0,0.0,100.0,0.0
134,InternVL3.5‑1B,coarse perception,image scene and topic,121,0.0,100.0,0.0,0.0,0.0,0.0,100.0
135,InternVL3.5‑1B,coarse perception,image scene and topic,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,InternVL3.5‑1B,coarse perception,image scene and topic,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,InternVL3.5‑1B,coarse perception,image scene and topic,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,InternVL3.5‑1B,coarse perception,image scene and topic,125,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
139,InternVL3.5‑1B,coarse perception,image scene and topic,126,0.0,100.0,0.0,0.0,0.0,0.0,100.0
140,InternVL3.5‑1B,coarse perception,image scene and topic,127,0.0,0.0,100.0,0.0,100.0,-100.0,-100.0
141,InternVL3.5‑1B,coarse perception,image scene and topic,128,100.0,0.0,0.0,100.0,0.0,100.0,0.0
142,InternVL3.5‑1B,coarse perception,image scene and topic,129,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
143,InternVL3.5‑1B,coarse perception,image scene and topic,130,100.0,0.0,0.0,100.0,0.0,100.0,0.0
144,InternVL3.5‑1B,coarse perception,image scene and topic,131,100.0,100.0,100.0,100.0,100.0,0.0,0.0
145,InternVL3.5‑1B,coarse perception,image scene and topic,132,100.0,0.0,0.0,100.0,0.0,100.0,0.0
146,InternVL3.5‑1B,coarse perception,image scene and topic,134,100.0,100.0,100.0,100.0,100.0,0.0,0.0
147,InternVL3.5‑1B,coarse perception,image scene and topic,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,InternVL3.5‑1B,coarse perception,image scene and topic,136,100.0,0.0,0.0,100.0,0.0,100.0,0.0
149,InternVL3.5‑1B,coarse perception,image scene and topic,137,100.0,0.0,0.0,100.0,0.0,100.0,0.0
150,InternVL3.5‑1B,coarse perception,image scene and topic,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,InternVL3.5‑1B,coarse perception,image scene and topic,172,100.0,100.0,100.0,100.0,100.0,0.0,0.0
152,InternVL3.5‑1B,coarse perception,image scene and topic,175,100.0,0.0,0.0,100.0,0.0,100.0,0.0
153,InternVL3.5‑1B,coarse perception,image scene and topic,180,100.0,0.0,0.0,100.0,0.0,100.0,0.0
154,InternVL3.5‑1B,coarse perception,image scene and topic,194,100.0,0.0,0.0,100.0,0.0,100.0,0.0
155,InternVL3.5‑1B,coarse perception,image scene and topic,204,100.0,100.0,100.0,100.0,100.0,0.0,0.0
156,InternVL3.5‑1B,coarse perception,image scene and topic,205,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
157,InternVL3.5‑1B,coarse perception,image scene and topic,208,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
158,InternVL3.5‑1B,coarse perception,image scene and topic,209,100.0,0.0,0.0,100.0,0.0,100.0,0.0
159,InternVL3.5‑1B,coarse perception,image scene and topic,210,100.0,0.0,0.0,100.0,0.0,100.0,0.0
160,InternVL3.5‑1B,coarse perception,image scene and topic,211,100.0,0.0,0.0,100.0,0.0,100.0,0.0
161,InternVL3.5‑1B,coarse perception,image scene and topic,213,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
162,InternVL3.5‑1B,coarse perception,image scene and topic,214,100.0,0.0,0.0,100.0,0.0,100.0,0.0
163,InternVL3.5‑1B,coarse perception,image scene and topic,217,100.0,0.0,0.0,100.0,0.0,100.0,0.0
164,InternVL3.5‑1B,coarse perception,image scene and topic,224,100.0,0.0,0.0,100.0,0.0,100.0,0.0
165,InternVL3.5‑1B,coarse perception,image scene and topic,225,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
166,InternVL3.5‑1B,coarse perception,image scene and topic,227,100.0,0.0,0.0,100.0,0.0,100.0,0.0
167,InternVL3.5‑1B,coarse perception,image scene and topic,229,100.0,0.0,0.0,100.0,0.0,100.0,0.0
168,InternVL3.5‑1B,coarse perception,image scene and topic,234,100.0,0.0,0.0,100.0,0.0,100.0,0.0
169,InternVL3.5‑1B,coarse perception,image scene and topic,241,100.0,100.0,100.0,100.0,100.0,0.0,0.0
170,InternVL3.5‑1B,coarse perception,image scene and topic,242,100.0,0.0,0.0,100.0,0.0,100.0,0.0
171,InternVL3.5‑1B,coarse perception,image scene and topic,243,100.0,0.0,0.0,100.0,0.0,100.0,0.0
172,InternVL3.5‑1B,coarse perception,image style & quality,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,InternVL3.5‑1B,coarse perception,image style & quality,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,InternVL3.5‑1B,coarse perception,image style & quality,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,InternVL3.5‑1B,coarse perception,image style & quality,50,100.0,0.0,0.0,100.0,0.0,100.0,0.0
176,InternVL3.5‑1B,coarse perception,image style & quality,51,100.0,100.0,0.0,100.0,0.0,100.0,100.0
177,InternVL3.5‑1B,coarse perception,image style & quality,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,InternVL3.5‑1B,coarse perception,image style & quality,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,InternVL3.5‑1B,coarse perception,image style & quality,95,100.0,0.0,0.0,100.0,0.0,100.0,0.0
180,InternVL3.5‑1B,coarse perception,image style & quality,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,InternVL3.5‑1B,coarse perception,image style & quality,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,InternVL3.5‑1B,coarse perception,image style & quality,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,InternVL3.5‑1B,coarse perception,image style & quality,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,InternVL3.5‑1B,coarse perception,image style & quality,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,InternVL3.5‑1B,coarse perception,image style & quality,146,100.0,100.0,100.0,100.0,100.0,0.0,0.0
186,InternVL3.5‑1B,coarse perception,image style & quality,147,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
187,InternVL3.5‑1B,coarse perception,image style & quality,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,InternVL3.5‑1B,coarse perception,image style & quality,149,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
189,InternVL3.5‑1B,coarse perception,image style & quality,150,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
190,InternVL3.5‑1B,coarse perception,image style & quality,152,100.0,0.0,0.0,100.0,0.0,100.0,0.0
191,InternVL3.5‑1B,coarse perception,image style & quality,153,100.0,100.0,100.0,100.0,100.0,0.0,0.0
192,InternVL3.5‑1B,coarse perception,image style & quality,154,100.0,100.0,100.0,100.0,100.0,0.0,0.0
193,InternVL3.5‑1B,coarse perception,image style & quality,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,InternVL3.5‑1B,coarse perception,image style & quality,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,InternVL3.5‑1B,coarse perception,image style & quality,157,0.0,100.0,100.0,0.0,100.0,-100.0,0.0
196,InternVL3.5‑1B,coarse perception,image style & quality,158,100.0,100.0,100.0,100.0,100.0,0.0,0.0
197,InternVL3.5‑1B,coarse perception,image style & quality,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,InternVL3.5‑1B,coarse perception,image style & quality,160,100.0,0.0,0.0,100.0,0.0,100.0,0.0
199,InternVL3.5‑1B,coarse perception,image style & quality,161,100.0,0.0,0.0,100.0,0.0,100.0,0.0
200,InternVL3.5‑1B,coarse perception,image style & quality,162,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
201,InternVL3.5‑1B,coarse perception,image style & quality,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,InternVL3.5‑1B,coarse perception,image style & quality,165,100.0,100.0,100.0,100.0,100.0,0.0,0.0
203,InternVL3.5‑1B,coarse perception,image style & quality,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,InternVL3.5‑1B,coarse perception,image style & quality,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,InternVL3.5‑1B,coarse perception,image style & quality,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,InternVL3.5‑1B,coarse perception,image style & quality,169,100.0,100.0,100.0,100.0,100.0,0.0,0.0
207,InternVL3.5‑1B,coarse perception,image style & quality,170,100.0,100.0,100.0,100.0,100.0,0.0,0.0
208,InternVL3.5‑1B,coarse perception,image style & quality,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,InternVL3.5‑1B,coarse perception,image style & quality,173,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
210,InternVL3.5‑1B,coarse perception,image style & quality,176,100.0,0.0,0.0,100.0,0.0,100.0,0.0
211,InternVL3.5‑1B,coarse perception,image style & quality,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,InternVL3.5‑1B,coarse perception,image style & quality,178,100.0,0.0,0.0,100.0,0.0,100.0,0.0
213,InternVL3.5‑1B,coarse perception,image style & quality,179,100.0,0.0,0.0,100.0,0.0,100.0,0.0
214,InternVL3.5‑1B,coarse perception,image style & quality,183,100.0,0.0,0.0,100.0,0.0,100.0,0.0
215,InternVL3.5‑1B,coarse perception,image style & quality,184,100.0,0.0,0.0,100.0,0.0,100.0,0.0
216,InternVL3.5‑1B,coarse perception,image style & quality,185,100.0,100.0,100.0,100.0,100.0,0.0,0.0
217,InternVL3.5‑1B,coarse perception,image style & quality,186,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
218,InternVL3.5‑1B,coarse perception,image style & quality,190,100.0,0.0,100.0,100.0,100.0,0.0,-100.0
219,InternVL3.5‑1B,coarse perception,image style & quality,191,100.0,0.0,0.0,100.0,0.0,100.0,0.0
220,InternVL3.5‑1B,coarse perception,image style & quality,192,100.0,100.0,100.0,100.0,100.0,0.0,0.0
221,InternVL3.5‑1B,coarse perception,image style & quality,193,100.0,100.0,100.0,100.0,100.0,0.0,0.0
222,InternVL3.5‑1B,coarse perception,image style & quality,195,100.0,100.0,100.0,100.0,100.0,0.0,0.0
223,InternVL3.5‑1B,coarse perception,image style & quality,197,100.0,100.0,100.0,100.0,100.0,0.0,0.0
224,InternVL3.5‑1B,coarse perception,image style & quality,198,100.0,100.0,100.0,100.0,100.0,0.0,0.0
225,InternVL3.5‑1B,coarse perception,image style & quality,199,100.0,100.0,100.0,100.0,100.0,0.0,0.0
226,InternVL3.5‑1B,coarse perception,image style & quality,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,InternVL3.5‑1B,coarse perception,image style & quality,201,100.0,0.0,0.0,100.0,0.0,100.0,0.0
228,InternVL3.5‑1B,coarse perception,image style & quality,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,InternVL3.5‑1B,coarse perception,image style & quality,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,InternVL3.5‑1B,coarse perception,image style & quality,215,0.0,100.0,0.0,0.0,0.0,0.0,100.0
231,InternVL3.5‑1B,coarse perception,image style & quality,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,InternVL3.5‑1B,coarse perception,image style & quality,218,100.0,0.0,0.0,100.0,0.0,100.0,0.0
233,InternVL3.5‑1B,coarse perception,image style & quality,219,100.0,0.0,0.0,100.0,0.0,100.0,0.0
234,InternVL3.5‑1B,coarse perception,image style & quality,222,100.0,0.0,0.0,100.0,0.0,100.0,0.0
235,InternVL3.5‑1B,coarse perception,image style & quality,228,100.0,0.0,0.0,100.0,0.0,100.0,0.0
236,InternVL3.5‑1B,coarse perception,image style & quality,230,100.0,100.0,100.0,100.0,100.0,0.0,0.0
237,InternVL3.5‑1B,coarse perception,image style & quality,231,100.0,0.0,0.0,100.0,0.0,100.0,0.0
238,InternVL3.5‑1B,coarse perception,image style & quality,232,100.0,0.0,0.0,100.0,0.0,100.0,0.0
239,InternVL3.5‑1B,coarse perception,image style & quality,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,InternVL3.5‑1B,coarse perception,image style & quality,235,100.0,0.0,0.0,100.0,0.0,100.0,0.0
241,InternVL3.5‑1B,coarse perception,image style & quality,236,100.0,0.0,0.0,100.0,0.0,100.0,0.0
242,InternVL3.5‑1B,coarse perception,image style & quality,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,InternVL3.5‑1B,coarse perception,image style & quality,238,100.0,0.0,0.0,100.0,0.0,100.0,0.0
244,InternVL3.5‑1B,coarse perception,image style & quality,239,100.0,100.0,100.0,100.0,100.0,0.0,0.0
