,category,l2_category,question,answer,correct
598,instance reasoning,single-instance reasoning,"The object shown in this figure:
Options: A: Is a colorless liquid with a slightly metallic taste, B: Is a powerful oxidizer that can cause skin and eye irritation, C: Has a boiling point of 150.2°C, D: None of these options are correct.",B,0.7272727272727273
569,instance reasoning,cross-instance relation reasoning,"Which property do these three objects have in common?
Options: A: blue, B: smooth, C: flexible, D: nan",B,0.7272727272727273
1394,science & technology,geography & earth science & agriculture,"What stage has a speed of 1670 km/hr?
Options: A: none of the above, B: B, C: C, D: A",B,0.7
959,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, points A, B, and C are on ⊙O, if ∠C = 35.0, then ∠AOB = ()
Choices:
(A) 17.5°
(B) 35°
(C) 60°
(D) 70°",D,0.7
696,logical reasoning,code & sequence reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What number is shown?
Choices:
(A) 9597
(B) 9567
(C) 6567
(D) 9667",B,0.7
1013,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the radius of this circle?
Choices:
(A) 2.5
(B) 10
(C) 2
(D) 5",D,0.7
1027,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，A，B两点被池塘隔开，在AB外选一点C，使点C能直接到达点A和点B，连接AC和BC，并分别找出AC和BC的中点M，N．如果测得MN＝20m，那么A，B两点的距离是（）
Choices:
(A) 10m
(B) 20m
(C) 35m
(D) 40m",D,0.7
1093,math,statistical reasoning,"<image 1> A major food manufacturer is concerned that the sales for its skinny french fries have been decreasing. As a part of a feasibility study, the company conducts research into the types of fries sold across the country to determine if the type of fries sold is independent of the area of the country. The results of the study are shown in Table 11.43. Conduct a test of independence. At the 5% significance level, what can you conclude?
Options: A: There is insufficient evidence that types of fries and location are dependent., B: There is sufficient evidence that types of fries and location are dependent., C: Not certain., D: nan",B,0.7
728,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: If frogs were removed from this environment what animal would potentially see an increase in its population?
Choices:
(A) crickets
(B) deer
(C) snakes
(D) hawks",A,0.7
947,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, PA and PB are tangent to ⊙O to A and B respectively. Point C and point D are the moving points on line segments PA and PB, and CD always remains tangent to circle O. If PA = 8.0, then perimeter of △PCD is ()
Choices:
(A) 8
(B) 12
(C) 16
(D) 不能确定",C,0.7
712,logical reasoning,code & sequence reasoning,"Which Python code can generate the content of the image?
Options: A: n = 6
string = ""Hello!""
print(string * n), B: n = 5
string = ""Hello!""
print(string * n), C: n = 7
string = ""Hello!""
print(string * n), D: n = 2
string = ""Hello!""
print(string * n)",B,0.7
723,logical reasoning,common reasoning,"Based on the image, which aspect of the woman's appearance contributes most to the impression of playfulness?
Options: A: The woman's engaging smile adds a touch of playfulness to her appearance., B: The green hair and goggles of the woman contribute most to her playful look., C: The woman's tie adds a playful aspect to her look., D: The woman's unconventional style makes her appear playful.",B,0.7
1035,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，在Rt△ABC中，∠ABC＝90°，点D、E、F分别是边AB、BC、CA的中点，若DE+BF＝8，则BF的值为（）
Choices:
(A) 3
(B) 4
(C) 5
(D) 6",B,0.7
786,logical reasoning,common reasoning,"What is the main event in this image?
Options: A: The target enemy is surrendering, B: The target enemy is shooting at someone, C: The target enemy will be shot, D: The target enemy is hiding",C,0.7
1040,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，点D在等边△ABC的边CB的延长线上，点E在线段BC上，连接AD，AE，若DA＝DE，且∠DAB＝20°，那么∠EAC的度数为（）
Choices:
(A) 20°
(B) 15°
(C) 10°
(D) 5°",C,0.7
70,coarse perception,image scene and topic,"What is the main focus of the image?
Options: A: A woman standing in front of a brick wall, B: A woman standing in front of a green hedge, C: A garden with a lot of flowers and bushes, D: A bench surrounded by a lot of plants",B,0.6923076923076923
97,coarse perception,image scene and topic,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,0.6923076923076923
464,instance reasoning,cross-instance attribute reasoning,"In this comparison picture, are the upper and lower modules the same color?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.6818181818181818
462,instance reasoning,cross-instance attribute reasoning,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.6818181818181818
428,fine-grained perception,recognition,"What is the woman holding in her hand?
Options: A: A book, B: A camera, C: A cell phone, D: Nothing",D,0.6666666666666666
13,coarse perception,image emotion,"Which emotion is being depicted in this image?
Options: A: happiness, B: sadness, C: anger, D: love",B,0.6666666666666666
120,coarse perception,image scene and topic,"What kind of human behavior does this picture describe?
Options: A: A doctor is performing surgery in a hospital, using advanced techniques and technology to save lives and restore health to patients in need., B: A couple is horseback riding on a trail, cantering and galloping through scenic terrain while bonding with each other and their equine companions., C: A man in a cowboy hat sits sleeping in the sun with a fallen apple at his feet., D: A group of friends are playing poker in a basement, betting chips and bluffing while trying to outsmart each other.",C,0.6666666666666666
382,fine-grained perception,recognition,"What is the color of the letter in the red circle?
Options: A: Black, B: White, C: Red, D: Yellow",B,0.6666666666666666
164,coarse perception,image style & quality,"This image is an example of which style?
Options: A: vector art, B: comic, C: oil paint, D: Baroque",A,0.6666666666666666
369,fine-grained perception,recognition,"What color is the writing in the image?
Options: A: Black, B: White, C: Blue, D: Red",B,0.6666666666666666
21,coarse perception,image emotion,"what emotion does this emoji express?
Options: A: happy, B: sad, C: excited, D: angry",B,0.6666666666666666
414,fine-grained perception,recognition,"What is the most prominent color of the jacket worn by the man with the laptop?
Options: A: Blue, B: Black, C: Gray, D: Red",B,0.6666666666666666
346,fine-grained perception,recognition,"Is there a microphone in the image?
Options: A: Cannot determine, B: No, C: Yes, D: Not enough information",B,0.6666666666666666
335,fine-grained perception,recognition,"Does the image contain any person wearing green clothes?
Options: A: Yes, B: Cannot determine from the given information, C: No, D: None of the above",C,0.6666666666666666
550,instance reasoning,cross-instance relation reasoning,"What can Hazel and Xavier trade to each get what they want?
Options: A: Hazel can trade her tomatoes for Xavier's broccoli., B: Hazel can trade her tomatoes for Xavier's carrots., C: Xavier can trade his broccoli for Hazel's oranges., D: Xavier can trade his almonds for Hazel's tomatoes.",A,0.6363636363636364
549,instance reasoning,cross-instance relation reasoning,"There are two physical models in the picture, are the two square sliders the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.6363636363636364
584,instance reasoning,single-instance reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is it split in half?
Choices:
(A) Yes
(B) No
(C) nan
(D) nan",B,0.6363636363636364
465,instance reasoning,cross-instance attribute reasoning,"In this picture, are the two dolphins the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,0.6363636363636364
468,instance reasoning,cross-instance attribute reasoning,"What can Abdul and Elise trade to each get what they want?
Options: A: Abdul can trade his tomatoes for Elise's carrots., B: Elise can trade her broccoli for Abdul's oranges., C: Elise can trade her almonds for Abdul's tomatoes., D: Abdul can trade his tomatoes for Elise's broccoli.",D,0.6363636363636364
572,instance reasoning,cross-instance relation reasoning,"Which solution has a higher concentration of blue particles?
Options: A: Solution A, B: Solution B, C: neither; their concentrations are the same, D: nan",B,0.6363636363636364
575,instance reasoning,cross-instance relation reasoning,"Which solution has a higher concentration of green particles?
Options: A: neither; their concentrations are the same, B: Solution B, C: Solution A, D: nan",B,0.6363636363636364
816,logical reasoning,common reasoning,"Which of the following objects has the highest density in the image?
Options: A: Palm trees, B: Trees, C: Sand, D: Dead grass",C,0.6363636363636364
873,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What time is shown? Answer by typing a time word, not a number. It is (_) after nine.
Choices:
(A) half
(B) quarter
(C) o'clock
(D) quarter to",B,0.6363636363636364
43,coarse perception,image scene and topic,"What is the dominant color in the image?
Options: A: Yellow, B: Black, C: Red, D: Green",B,0.6153846153846154
41,coarse perception,image scene and topic,"What is the dominant color in the image?
Options: A: Red, B: Blue, C: Green, D: Black",D,0.6153846153846154
938,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, A, B, and C are the three points on ⊙O, if ∠C = 35.0, then the degree of ∠OAB is ()
Choices:
(A) 35°
(B) 55°
(C) 65°
(D) 70°",B,0.6
942,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB is the diameter of ⊙O, point C is a point on ⊙O, ∠C = 20.0, then the degree of ∠BOC is ()
Choices:
(A) 20°
(B) 30°
(C) 40°
(D) 60°",C,0.6
1031,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，一块直角三角板60°的角的顶点A与直角顶点C分别在两平行线FG，DE上，斜边AB平分∠CAG，交直线DE于点H，则∠BCH的大小为（）
Choices:
(A) 60°
(B) 45°
(C) 30°
(D) 25°",C,0.6
897,logical reasoning,diagram reasoning,"What is the name of the colony shown?
Options: A: Maine, B: Rhode Island, C: New York, D: Virginia",B,0.6
1360,science & technology,electronics & energy & mechanical eng.,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
Options: A: The magnitude of the magnetic force is greater in Pair 2., B: The magnitude of the magnetic force is greater in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan",B,0.6
956,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, in △ABC, DE ∥ BC, if AB = 7.0, AC = 5.0, AD = 3.0, then DE = ()
Choices:
(A) \frac{15}{4}cm
(B) \frac{20}{3}cm
(C) \frac{15}{7}cm
(D) \frac{20}{7}cm",D,0.6
1144,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the average annual wage in Slovak Republic in the year 2019
Choices:
(A) 15000
(B) 20010
(C) 0
(D) 15017",D,0.6
964,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the two chords AB and CD in the circle intersect at E, ∠D = 35.0, ∠AEC = 105.0, then ∠C = ()
Choices:
(A) 60°
(B) 70°
(C) 80°
(D) 85°",B,0.6
1368,science & technology,electronics & energy & mechanical eng.,"Will these magnets attract or repel each other?
Options: A: repel, B: attract, C: nan, D: nan",B,0.6
1364,science & technology,electronics & energy & mechanical eng.,"Which Python code can generate the content of the image?
Options: A: count = 1
while count < 5:
print count, "" is less than 5""
count = count + 1
else:
print count, "" is not less than 5"", B: count = 0
while count < 5:
print count, "" is less than 5""
count = count + 1
else:
print count, "" is not less than 5"", C: count = 0
while count < 5:
print count, "" is less than 5""
count = count + 1
else:
print count, "" is not less than 6"", D: count = 0
while count < 5:
print count, "" is less than 5""
count = count + 2
else:
print count, "" is not less than 5""",B,0.6
1166,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: When does the function start decreasing?
(A) 4
(B) 5
(C) 6
(D) 7",B,0.6
1033,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，在ABCD中，AB＝5，AD＝7，则ABCD的周长为（）
Choices:
(A) 12
(B) 14
(C) 35
(D) 24",D,0.6
1068,math,numeric commonsense and calculation,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Move the ruler to measure the length of the twig to the nearest inch. The twig is about (_) inches long.
Choices:
(A) 3
(B) 1
(C) 2
(D) 4",C,0.6
1336,science & technology,electronics & energy & mechanical eng.,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
Options: A: neither; the samples have the same temperature, B: sample A, C: sample B, D: nan",B,0.6
759,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What time is shown? Answer by typing a time word, not a number. It is (_) past three.
Choices:
(A) half
(B) quarter
(C) o'clock
(D) quarter to",B,0.6
1143,math,statistical reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the amplitude of this function?
Choices:
(A) 0
(B) 2
(C) 1
(D) 3",C,0.6
1199,science & technology,biology & chemistry & physics,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: One of the most dramatic videos on the web (but entirely fictitious) supposedly shows a man sliding along a long water slide and then being launched into the air to land in a water pool. Let's attach some reasonable numbers to such a flight to calculate the velocity with which the man would have hit the water. Figure indicates the launch and landing sites and includes a superimposed coordinate system with its origin conveniently located at the launch site. From the video we take the horizontal flight distance as $D=20.0 \mathrm{~m}$, the flight time as $t=2.50 \mathrm{~s}$, and the launch angle as $\theta_0=40.0^{\circ}$. Find the magnitude of the velocity at launch and at landing.
Choices:
(A) 14
(B) 10.44
(C) 44
(D) 1",B,0.6
788,logical reasoning,common reasoning,"What is the most likely purpose of this poster?
Options: A: To celebrate New Year., B: To celebrate someone's birthday., C: To celebrate Christmas., D: To celebrate National Day.",C,0.6
784,logical reasoning,common reasoning,"What is the intended outcome in this image?
Options: A: She will lose leg muscle, B: She will maintain her current leg muscle size, C: She will grow her leg muscle, D: She will undergo surgery to reduce leg muscle",C,0.6
1023,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AB是⊙O的直径，C，D两点在⊙O上，∠BCD＝25°，则∠AOD的度数为（）
Choices:
(A) 120°
(B) 125°
(C) 130°
(D) 135°",C,0.6
943,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB is the diameter of ⊙O, point D is on the extended line of AB, passing point D is the tangent of ⊙O, and the tangent point is C, if ∠A = 25.0, then ∠D = ()
Choices:
(A) 25°
(B) 40°
(C) 50°
(D) 65°",B,0.6
934,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: $a=14, b=48,$ and $c=50$ find $cosA$
Choices:
(A) 0.14
(B) 0.48
(C) 0.50
(D) 0.96",D,0.6
997,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Line AB is tangent to circle O. If AB = 8 and OB = 10, find the diameter of the circle.
Choices:
(A) 4
(B) 6
(C) 12
(D) 10",C,0.6
761,logical reasoning,common reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Which picture has the least leaves?
Choices:
(A) Both
(B) Compound
(C) Simple
(D) Neither",C,0.6
1260,science & technology,biology & chemistry & physics,"What is the oxygen represented by in the diagram?
Options: A: D, B: C, C: B, D: none of the above",B,0.6
865,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What is the value of the largest bar?
Choices:
(A) 1000
(B) 10000
(C) 100
(D) 100000",B,0.6
832,logical reasoning,diagram reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: How many bars have value below 40?
Choices:
(A) 5
(B) 3
(C) 2
(D) 4",B,0.6
1024,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AB是⊙O的直径，EF，EB是⊙O的弦，点E是FEB的中点，EF与AB交于点C，连接OF，若∠AOF＝40°，则∠F的度数是（）
Choices:
(A) 20°
(B) 35°
(C) 40°
(D) 55°",B,0.6
818,logical reasoning,common reasoning,"Which two teams will take part in this game?
Options: A: Team A and Team B., B: Team A and Team C., C: Team B and Team C., D: Team A and Team D.",A,0.6
1098,math,statistical reasoning,"A new company started production. Job 1 was completed, and Job 2 remains in production. Here is the information from the job cost sheets from their first and only jobs so far: <image 1> Using the information provided, what is the balance in finished goods inventory?
Options: A: $10,208, B: $10,308, C: $10,408, D: $10,508",B,0.6
1028,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，PA是⊙O的切线，切点为A，OP＝4，∠APO＝30°，则⊙O的半径长为（）
Choices:
(A) 1
(B) √{3}
(C) 2
(D) 3",C,0.6
1029,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，△ABC中，AD平分∠BAC，AD交BC于点D，DE⊥AB，垂足为E，若DE＝3，AC＝4，则△ADC的面积为（）
Choices:
(A) 3
(B) 4
(C) 5
(D) 6",D,0.6
695,logical reasoning,code & sequence reasoning,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What number is shown?
Choices:
(A) 9333
(B) 9335
(C) 935
(D) 335",B,0.6
1026,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AD是△ABC的中线，E为AD的中点，△ABE的面积为2，则△ABC的面积为（）
Choices:
(A) 5
(B) 6
(C) 7
(D) 8",D,0.6
1025,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AC，BD是菱形ABCD的对角线，BH⊥AD于点H，若AC＝4，BD＝3，则BH的长为（）
Choices:
(A) 2.4
(B) 2.5
(C) 4.8
(D) 5",A,0.6
963,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line a ∥ b, the point B is on the straight line b, and AB ⊥ BC, ∠2 = 65.0, then the degree of ∠1 is ()
Choices:
(A) 65°
(B) 25°
(C) 35°
(D) 45°",B,0.6
962,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the parallel lines a and b are intercepted by the straight line c. If ∠1 = 50.0, then the degree of ∠2 is ()
Choices:
(A) 150°
(B) 130°
(C) 110°
(D) 100°",B,0.6
887,logical reasoning,diagram reasoning,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
Options: A: The magnitude of the magnetic force is greater in Pair 2., B: The magnitude of the magnetic force is greater in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan",B,0.6
945,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, E is any point in ▱ABCD, if S~quadrilateral ABCD~ = 6.0, then the area of ​​the shaded part in the figure is ()
Choices:
(A) 2
(B) 3
(C) 4
(D) 5",B,0.6
1019,math,geometry,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: f(-1) is ____ f(0).
Choices:
(A) larger than
(B) equal to
(C) smaller than
(D) nan",C,0.6
232,fine-grained perception,localization,"Where is the woman located in the picture?
Options: A: left, B: right, C: top, D: bottom",B,0.5833333333333334
317,fine-grained perception,object counting,"How many teddy bears are in the picture?
Options: A: Two, B: One, C: Three, D: Four",B,0.5833333333333334
160,coarse perception,image scene and topic,"is this place crowded?
Options: A: yes, B: no, C: nan, D: nan",B,0.5833333333333334
357,fine-grained perception,recognition,"What color is the building in the foreground?
Options: A: Blue, B: Grey, C: White, D: Black",B,0.5833333333333334
423,fine-grained perception,recognition,"What is the shape of the object with an angel face and wings in the image?
Options: A: Egg-shaped, B: Square, C: Round, D: Star-shaped",A,0.5833333333333334
250,fine-grained perception,object counting,"How many bananas are there in the image?
Options: A: 3, B: 2, C: 4, D: 5",B,0.5833333333333334
129,coarse perception,image scene and topic,"What type of environment is depicted in the picture?
Options: A: home, B: shopping mall, C: street, D: forest",C,0.5833333333333334
349,fine-grained perception,recognition,"Roughly how much of the picture is occupied by the two people on the bench in the picture?
Options: A: more than 50%, B: less than 30%, C: 0.8, D: more than 60%",B,0.5833333333333334
169,coarse perception,image style & quality,"Which category does this image belong to?
Options: A: MRI image, B: icon, C: microscopic image, D: abstract painting",B,0.5833333333333334
150,coarse perception,image scene and topic,"Which of the following captions best describes this image?
Options: A: A person taking a photo with a camera, B: A group of people watching a movie in a theater, C: A person reading a book in a library, D: A woman applying makeup in front of a mirror",D,0.5833333333333334
392,fine-grained perception,recognition,"What is the color of the shirt worn by a man playing the guitar?
Options: A: Blue, B: Black, C: Red, D: White",B,0.5833333333333334
384,fine-grained perception,recognition,"What is the color of the man's tie in the image?
Options: A: Blue, B: White, C: Black, D: Red",C,0.5833333333333334
502,instance reasoning,cross-instance attribute reasoning,"What's the function of the demonstrated object?
Options: A: baking, B: heating, C: flavouring, D: Pick-up",B,0.5454545454545454
583,instance reasoning,single-instance reasoning,"Based on the image, where is the boy?
Options: A: The boy is on the right of the fire hydrant, B: The boy is on the left of the fire hydrant, C: The boy is on the top of the fire hydrant, D: All above are not right",B,0.5454545454545454
564,instance reasoning,cross-instance relation reasoning,"Which of the insects is an ant?
Options: A: Insect A, B: Insect C, C: All, D: Insect D",B,0.5454545454545454
579,instance reasoning,cross-instance relation reasoning,"Which solution has a higher concentration of purple particles?
Options: A: neither; their concentrations are the same, B: Solution A, C: Solution B, D: nan",C,0.5454545454545454
552,instance reasoning,cross-instance relation reasoning,"What can be the relationship between the two persons in this image?
Options: A: Father and daughter, B: Mother and son, C: Brother and sister, D: Husband and wife",C,0.5454545454545454
551,instance reasoning,cross-instance relation reasoning,"What can Rosa and Kylie trade to each get what they want?
Options: A: Kylie can trade her almonds for Rosa's tomatoes., B: Rosa can trade her tomatoes for Kylie's broccoli., C: Rosa can trade her tomatoes for Kylie's carrots., D: Kylie can trade her broccoli for Rosa's oranges.",B,0.5454545454545454
804,logical reasoning,common reasoning,"What will happen next?
Options: A: the motorcyle is gonna go forward, B: the motorcyle is gonna crash, C: the motorcyle is gonna go backward, D: both A,B, and C",B,0.5454545454545454
672,instance reasoning,single-instance reasoning,"Which object is located closer to the road - the gas station or the parking lot?
Options: A: They are the same distance from the road, B: Parking lot, C: Gas station, D: None of the above",B,0.5454545454545454
709,logical reasoning,code & sequence reasoning,"Which Python code can generate the content of the image?
Options: A: count = 0
while (count < 10):
print 'The count is:', count
count = count + 1

print ""Good bye!"", B: count = 0
while (count < 9):
print 'The count is:', count
count = count + 1

print ""Good bye!"", C: count = 1
while (count < 9):
print 'The count is:', count
count = count + 1

print ""Good bye!"", D: count = 0
while (count < 9):
print 'The count is:', count
count = count + 2

print ""Good bye!""",B,0.5454545454545454
654,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: mason, B: postman, C: singer, D: soldier",D,0.5454545454545454
473,instance reasoning,cross-instance attribute reasoning,"What is the location of the microphone relative to the person playing the guitar in the image?
Options: A: Above and to the left, B: Below and to the right, C: Behind, D: Directly in front",D,0.5454545454545454
644,instance reasoning,single-instance reasoning,"What's the profession of the people in this picture?
Options: A: detective, B: accountant, C: cashier, D: architect",C,0.5454545454545454
467,instance reasoning,cross-instance attribute reasoning,"Think about the magnetic force between the magnets in each pair. Which of the following statements is true?
Options: A: The magnitude of the magnetic force is smaller in Pair 2., B: The magnitude of the magnetic force is smaller in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan",B,0.5454545454545454
925,logical reasoning,diagram reasoning,"Which solution has a higher concentration of green particles?
Options: A: neither; their concentrations are the same, B: Solution A, C: Solution B, D: nan",C,0.5454545454545454
532,instance reasoning,cross-instance relation reasoning,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
Options: A: Having two cakes allows for different cake flavors or designs for their guests., B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones., C: Having two cakes indicates a preference for abundance and excess., D: Having two cakes is a common practice in most celebrations of this nature.",B,0.5454545454545454
534,instance reasoning,cross-instance relation reasoning,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
Options: A: neither; the samples have the same temperature, B: sample B, C: sample A, D: nan",B,0.5454545454545454
544,instance reasoning,cross-instance relation reasoning,"In nature, what's the relationship between these two creatures?
Options: A: Predatory relationships, B: Competitive relationships, C: Parasitic relationships, D: Symbiotic relationship",D,0.5454545454545454
529,instance reasoning,cross-instance attribute reasoning,"Which two objects are closest to each other?
Options: A: Soccer player and football team, B: Soccer player and coach, C: Football player and politician, D: Football player and coach",B,0.5454545454545454
513,instance reasoning,cross-instance attribute reasoning,"Which object is bigger, the Christmas tree or the hotel lobby?
Options: A: They are about the same size, B: Hotel lobby, C: Christmas tree, D: Cannot be determined from the given information",B,0.5454545454545454
616,instance reasoning,single-instance reasoning,"What is the position of the window in the sitting room?
Options: A: above the couch, B: beside the couch, C: below the couch, D: opposite of the couch",B,0.5454545454545454
485,instance reasoning,cross-instance attribute reasoning,"What is the relation between a speaker and the wall in the image?
Options: A: The speaker is on the wall, B: The speaker is standing in front of the wall, C: The speaker is attached to the wall, D: The speaker is behind the wall",B,0.5454545454545454
633,instance reasoning,single-instance reasoning,"What's the function of the demonstrated object?
Options: A: grill, B: filtration, C: flavouring, D: Pick-up",B,0.5454545454545454
