,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type
25,268,444302001,3,0.75,3.73,2025-12-02T10:37:36.464999,29127478_20251202_100107,What is the number on the pole?,number,,3,3,0.0,0.5157153606414795,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
26,268,444302001,2,1.0,6.37,2025-11-26T09:04:32.941763,218b2db5_20251126_084136,What is the number on the pole?,number,,2,2,0.0,0.486538290977478,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
27,268,444302001,7,0.25,5.11,2025-11-26T15:06:08.821076,3238ebaf_20251126_140604,What is the number on the pole?,number,,7,7,0.0,0.5152671933174133,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
28,268,444302001,1,0.05,10.46,2025-12-05T23:27:38.505859,3a36e078_20251205_225238,What is the number on the pole?,number,,1,1,0.0,0.45357829332351685,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
29,268,444302001,1,0.05,4.43,2025-11-27T14:43:46.153732,5d843d39_20251127_141921,What is the number on the pole?,number,,1,1,0.0,0.45357829332351685,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
30,268,444302001,2,0.25,9.58,2025-12-11T00:41:56.800999,60de6bd6_20251210_170035,What is the number on the pole?,number,,2,2,0.0,0.486538290977478,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
31,268,444302001,1,0.05,6.9,2025-11-25T14:34:19.365392,6b3a1a8d_20251125_135446,What is the number on the pole?,number,,1,1,0.0,0.45357829332351685,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
32,268,444302001,2,0.5,5.51,2025-12-04T21:42:41.048914,73df43f3_20251204_210431,What is the number on the pole?,number,,2,2,0.0,0.486538290977478,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
33,268,444302001,5,0.5,4.78,2025-12-13T14:14:34.692879,74d408e5_20251213_134035,What is the number on the pole?,number,,5,5,0.0,0.6110429763793945,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
34,268,444302001,3,0.5,4.5,2025-12-09T14:55:50.406608,9c5d09f3_20251209_121033,What is the number on the pole?,number,,3,3,0.0,0.5157153606414795,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
35,268,444302001,2,0.5,3.03,2025-12-10T19:43:47.519582,825ff3e9_20251210_192335,What is the number on the pole?,number,,2,2,0.0,0.486538290977478,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
36,268,444302001,There are no numbers.,0.25,12.87,2025-12-12T00:11:09.844511,a5909497_20251211_232822,What is the number on the pole?,number,숫자가 없어요,There are no numbers.,there are no numbers,0.0,0.2777905762195587,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
37,268,444302001,2,0.25,6.94,2025-11-27T20:01:36.581615,b9b2cb98_20251127_193952,What is the number on the pole?,number,,2,2,0.0,0.486538290977478,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
38,268,444302001,1,0.05,6.71,2025-11-28T22:56:20.532736,dd0f9986_20251128_222537,What is the number on the pole?,number,,1,1,0.0,0.45357829332351685,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
39,268,444302001,5,0.75,7.74,2025-12-03T22:09:13.580117,f616d5c7_20251203_212223,What is the number on the pole?,number,,5,5,0.0,0.6110429763793945,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
40,268,444302001,3,0.75,3.57,2025-11-25T20:56:38.413714,d1548553_20251125_202324,What is the number on the pole?,number,,3,3,0.0,0.5157153606414795,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
41,268,444302001,5,0.5,8.42,2025-12-05T15:33:28.064460,2e184452_20251205_141511_cleaned,What is the number on the pole?,number,,5,5,0.0,0.6110429763793945,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",25,Humans,humans,inst blind,what is the,Attribute/Object
42,269,244019002,No,0.25,3.57,2025-11-24T13:55:48.371840,0756a860_20251124_133827,Has the wall been tagged?,yes/no,없다,No,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
43,269,244019002,no,0.5,5.71,2025-12-10T23:26:15.969862,02f952bb_20251210_230336,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
44,269,244019002,No.,0.25,6.09,2025-12-08T16:00:48.546525,14d2420f_20251208_150302,Has the wall been tagged?,yes/no,아니오,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
46,269,244019002,no,0.75,7.29,2025-12-02T10:37:43.955273,29127478_20251202_100107,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
47,269,244019002,yes,0.75,6.03,2025-11-26T09:04:39.182189,218b2db5_20251126_084136,Has the wall been tagged?,yes/no,네,yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
48,269,244019002,Yes,0.25,8.95,2025-11-26T15:06:17.956758,3238ebaf_20251126_140604,Has the wall been tagged?,yes/no,,Yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
49,269,244019002,yes,0.75,5.53,2025-12-05T23:27:44.300094,3a36e078_20251205_225238,Has the wall been tagged?,yes/no,네,yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
50,269,244019002,no,0.5,6.39,2025-11-27T14:43:52.779142,5d843d39_20251127_141921,Has the wall been tagged?,yes/no,,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
51,269,244019002,no,0.75,6.11,2025-12-11T00:42:03.152265,60de6bd6_20251210_170035,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
52,269,244019002,No.,0.05,5.43,2025-11-25T14:34:24.984231,6b3a1a8d_20251125_135446,Has the wall been tagged?,yes/no,아니오,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
53,269,244019002,yes,0.25,4.24,2025-12-04T21:42:45.553813,73df43f3_20251204_210431,Has the wall been tagged?,yes/no,네,yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
54,269,244019002,no,0.25,7.11,2025-12-13T14:14:42.014975,74d408e5_20251213_134035,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
55,269,244019002,Yes,0.5,4.31,2025-12-09T14:55:55.062077,9c5d09f3_20251209_121033,Has the wall been tagged?,yes/no,예,Yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
56,269,244019002,no,1.0,4.05,2025-12-10T19:43:51.882754,825ff3e9_20251210_192335,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
57,269,244019002,no,0.25,11.16,2025-12-12T00:11:21.453979,a5909497_20251211_232822,Has the wall been tagged?,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
58,269,244019002,No.,0.25,12.6,2025-11-27T20:01:49.422626,b9b2cb98_20251127_193952,Has the wall been tagged?,yes/no,아뇨,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
59,269,244019002,yes,0.75,11.49,2025-11-28T22:56:32.220759,dd0f9986_20251128_222537,Has the wall been tagged?,yes/no,네,yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
60,269,244019002,yes,0.75,3.48,2025-12-03T22:09:17.375642,f616d5c7_20251203_212223,Has the wall been tagged?,yes/no,네,yes,yes,1.0,1.0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
61,269,244019002,No.,0.25,5.88,2025-11-25T20:56:44.507574,d1548553_20251125_202324,Has the wall been tagged?,yes/no,아니오,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
62,269,244019002,no,0.5,4.56,2025-12-05T15:33:32.891562,2e184452_20251205_141511_cleaned,Has the wall been tagged?,yes/no,,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,has,Yes/No
63,270,297269002,Pink,1.0,3.88,2025-11-24T13:55:52.445577,0756a860_20251124_133827,What color is the label on the side of the bottom appliance?,other,분홍,Pink,pink,0.0,0.6322116255760193,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
64,270,297269002,White,0.75,5.96,2025-12-10T23:26:22.103840,02f952bb_20251210_230336,What color is the label on the side of the bottom appliance?,other,하얀색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
65,270,297269002,Black,0.75,4.79,2025-12-08T16:00:53.546428,14d2420f_20251208_150302,What color is the label on the side of the bottom appliance?,other,검정색,Black,black,0.0,0.6345255613327027,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
67,270,297269002,White,0.75,12.62,2025-12-02T10:37:56.782432,29127478_20251202_100107,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
68,270,297269002,White,0.75,12.94,2025-11-26T09:04:52.322004,218b2db5_20251126_084136,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
69,270,297269002,Red,0.25,5.24,2025-11-26T15:06:23.379553,3238ebaf_20251126_140604,What color is the label on the side of the bottom appliance?,other,,Red,red,0.0,0.701370507478714,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
70,270,297269002,White,1.0,6.29,2025-12-05T23:27:50.858658,3a36e078_20251205_225238,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
71,270,297269002,White,0.5,6.58,2025-11-27T14:43:59.613666,5d843d39_20251127_141921,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
72,270,297269002,White,0.75,5.57,2025-12-11T00:42:08.981738,60de6bd6_20251210_170035,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
73,270,297269002,White,0.25,8.54,2025-11-25T14:34:33.704789,6b3a1a8d_20251125_135446,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
74,270,297269002,White,0.75,6.52,2025-12-04T21:42:52.425051,73df43f3_20251204_210431,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
75,270,297269002,red,0.75,5.95,2025-12-13T14:14:48.173914,74d408e5_20251213_134035,What color is the label on the side of the bottom appliance?,other,빨간색,red,red,0.0,0.701370507478714,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
76,270,297269002,White,0.75,5.05,2025-12-09T14:56:00.499627,9c5d09f3_20251209_121033,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
77,270,297269002,White,1.0,13.41,2025-12-10T19:44:05.626660,825ff3e9_20251210_192335,What color is the label on the side of the bottom appliance?,other,하얀색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
78,270,297269002,White,0.75,4.38,2025-12-12T00:11:26.126134,a5909497_20251211_232822,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
79,270,297269002,white2,0.25,6.02,2025-11-27T20:01:55.665117,b9b2cb98_20251127_193952,What color is the label on the side of the bottom appliance?,other,흰색2,white2,white2,0.0,0.4750541806221008,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
80,270,297269002,Silver,1.0,4.69,2025-11-28T22:56:37.109471,dd0f9986_20251128_222537,What color is the label on the side of the bottom appliance?,other,은색,Silver,silver,0.0,0.44296656250953675,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
81,270,297269002,White,0.75,10.41,2025-12-03T22:09:28.074926,f616d5c7_20251203_212223,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
82,270,297269002,White,0.05,4.83,2025-11-25T20:56:49.581450,d1548553_20251125_202324,What color is the label on the side of the bottom appliance?,other,흰색,White,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
83,270,297269002,white,0.5,8.84,2025-12-05T15:33:41.963853,2e184452_20251205_141511_cleaned,What color is the label on the side of the bottom appliance?,other,,white,white,0.0,0.6441273152828216,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'yellow', 'green', 'blue']",green,Humans,humans,inst blind,what color is the,Attribute/Object
84,271,22656001,No,1.0,3.74,2025-11-24T13:55:56.396779,0756a860_20251124_133827,Is there toothpaste on the sink?,yes/no,없다,No,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
85,271,22656001,no,0.75,4.52,2025-12-10T23:26:26.829238,02f952bb_20251210_230336,Is there toothpaste on the sink?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
86,271,22656001,yes,0.75,14.44,2025-12-08T16:01:08.193652,14d2420f_20251208_150302,Is there toothpaste on the sink?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
88,271,22656001,yes,0.75,3.32,2025-12-02T10:38:00.299522,29127478_20251202_100107,Is there toothpaste on the sink?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
89,271,22656001,yes,1.0,3.48,2025-11-26T09:04:55.996216,218b2db5_20251126_084136,Is there toothpaste on the sink?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
90,271,22656001,Yes,0.25,3.74,2025-11-26T15:06:27.323636,3238ebaf_20251126_140604,Is there toothpaste on the sink?,yes/no,,Yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
91,271,22656001,no,1.0,6.83,2025-12-05T23:27:57.958725,3a36e078_20251205_225238,Is there toothpaste on the sink?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
92,271,22656001,no,0.5,4.26,2025-11-27T14:44:04.347203,5d843d39_20251127_141921,Is there toothpaste on the sink?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
93,271,22656001,no,0.75,6.62,2025-12-11T00:42:15.881251,60de6bd6_20251210_170035,Is there toothpaste on the sink?,yes/no,아니요,no,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
94,271,22656001,No.,0.5,5.22,2025-11-25T14:34:39.110995,6b3a1a8d_20251125_135446,Is there toothpaste on the sink?,yes/no,아니오,No.,no,1.0,1.0,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
95,271,22656001,yes,1.0,7.5,2025-12-04T21:43:00.318264,73df43f3_20251204_210431,Is there toothpaste on the sink?,yes/no,네,yes,yes,0.0,0.7335874438285828,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",no,Humans,humans,inst blind,is there,Yes/No
