,question_id,category,question,answer,human_answers,human_acc,JS-Blind MMStar (n=15)_results,JS-Blind MMStar (n=15)_outputs,SFT-Blind MMStar_results,SFT-Blind MMStar_outputs,SFT-Blind MMStar (n=15)_results,SFT-Blind MMStar (n=15)_outputs,Pretrained_results,Pretrained_outputs,model_acc
10,887.0,logical reasoning,"What's the profession of the people in this picture?
Options: A: trainer, B: chemist, C: musician, D: pianist
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,"<StringArray>
['D', 'D', 'D', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'B',
 'C', 'B', 'A', 'B', 'C']
Length: 20, dtype: str",15.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'C'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'C'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'C'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'C'}]",33.333333333333336
11,889.0,logical reasoning,"Based on the lighting, what time of day does it appear to be in the image?
Options: A: Late afternoon, B: Morning, C: Evening, D: Night
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'C', 'D', 'D', 'A', 'C', 'A', 'A', 'D', 'C', 'A',
 'A', 'A', 'A', 'C']
Length: 19, dtype: str",26.31578947368421,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'B'}]",33.333333333333336
12,890.0,logical reasoning,"What is the intended outcome in this image?
Options: A: She will lose leg muscle, B: She will maintain her current leg muscle size, C: She will grow her leg muscle, D: She will undergo surgery to reduce leg muscle
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'A', 'B',
 'B', 'A', 'B', 'A', 'D']
Length: 20, dtype: str",60.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'C'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'C'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'C'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'C'}]",33.333333333333336
13,928.0,logical reasoning,"Which continent is highlighted?
Options: A: Europe, B: South America, C: Antarctica, D: Africa
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'C', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'B', 'B', 'A',
 'A', 'D', 'A', 'A', 'B']
Length: 20, dtype: str",15.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'A'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'C'}]",66.66666666666667
14,934.0,logical reasoning,"What is the name of the colony shown?
Options: A: Maine, B: Rhode Island, C: New York, D: Virginia
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'C', 'C', 'D', 'C', 'D', 'D',
 'A', 'D', 'A', 'D', 'D']
Length: 20, dtype: str",35.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'D'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'B'}]",33.333333333333336
15,936.0,logical reasoning,"Which of these cities is marked on the map?
Options: A: Miami, B: Atlanta, C: Nashville, D: Oklahoma City
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'D', 'D', 'A', 'C', 'C', 'A', 'A', 'A', 'A', 'C',
 'A', 'A', 'C', 'D', 'A']
Length: 20, dtype: str",25.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]",100.0
16,938.0,logical reasoning,"Is the man wearing a hat?
Options: A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,"<StringArray>
['C', 'C', 'C', 'A', 'B', 'B', 'D', 'D', 'B', 'B', 'D', 'B', 'D', 'D', 'B',
 'B', 'D', 'A', 'D', 'D']
Length: 20, dtype: str",15.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'D'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'B'}]",66.66666666666667
17,947.0,logical reasoning,"Which country is highlighted?
Options: A: Saint Lucia, B: Jamaica, C: Haiti, D: Cuba
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'B', 'C', 'A', 'D', 'C', 'D', 'D', 'C', 'D', 'D',
 'D', 'A', 'C', 'A', 'D']
Length: 20, dtype: str",30.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'B'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'B'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'B'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'C'}, {'LLaVA‑Mistral (7B)': 'C'}, {'InternVL 3.5 (8B)': 'B'}]",33.333333333333336
18,949.0,logical reasoning,"Which month has the lowest average precipitation in London?
Options: A: July, B: February, C: November, D: nan
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,"<StringArray>
['A', 'A', 'A', 'A', 'B', 'B', 'B', 'D', 'B', 'D', 'B', 'B', 'D', 'C', 'D',
 'C', 'B', 'B', 'B', 'B']
Length: 20, dtype: str",20.0,"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'B'}, {'InternVL 3.5 (8B)': 'A'}]","[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}]",[{'InternVL 3.5 (8B)': 100}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 100}, {'LLaVA‑Mistral (7B)': 100}, {'InternVL 3.5 (8B)': 100}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'A'}, {'InternVL 3.5 (8B)': 'A'}]",100.0
19,961.0,logical reasoning,"What is the name of the colony shown?
Options: A: New York, B: Connecticut, C: New Hampshire, D: Massachusetts
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,"<StringArray>
['B', 'B', 'B', 'B', 'B', 'B', 'A', 'D', 'D', 'D', 'C', 'A', 'A', 'C', 'D',
 'C', 'C', 'D', 'D', 'C']
Length: 20, dtype: str",30.0,"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'D'}]","[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}]","[{'Qwen3‑VL (8B)': 'A'}, {'LLaVA‑Mistral (7B)': 'D'}]",[{'InternVL 3.5 (8B)': 0}],[{'InternVL 3.5 (8B)': 'A'}],"[{'Qwen3‑VL (8B)': 0}, {'LLaVA‑Mistral (7B)': 0}, {'InternVL 3.5 (8B)': 0}]","[{'Qwen3‑VL (8B)': 'D'}, {'LLaVA‑Mistral (7B)': 'D'}, {'InternVL 3.5 (8B)': 'D'}]",0.0
