,﻿question_num,question_id,answer,confidence,time_spent_seconds,answer_timestamp,participant_id,question,answer_type,answer_original,answer_raw,answer_normalized,correct,answer_similarity,gt_answers,visual_gt,model,meta_model,condition,question_type,new_question_type,processed_ans
7022,601,289870005,no,0.75,4.15,2025-12-11T00:03:34.157725,02f952bb_20251210_230336,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7023,601,289870005,no,0.75,7.59,2025-12-08T16:39:09.575258,14d2420f_20251208_150302,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7026,601,289870005,no,0.75,3.79,2025-12-02T11:07:20.938626,29127478_20251202_100107,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7033,601,289870005,No.,0.75,4.35,2025-12-04T22:21:07.175370,73df43f3_20251204_210431,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아뇨,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7032,601,289870005,No.,0.05,7.24,2025-11-25T15:07:18.914047,6b3a1a8d_20251125_135446,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니오,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7031,601,289870005,no,0.75,4.26,2025-12-11T01:21:34.285327,60de6bd6_20251210_170035,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7034,601,289870005,no,0.75,3.67,2025-12-14T14:09:11.425576,74d408e5_20251213_134035,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7038,601,289870005,No.,0.25,3.72,2025-11-27T20:29:47.814883,b9b2cb98_20251127_193952,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니다,No.,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7036,601,289870005,no,0.75,2.22,2025-12-10T20:09:12.397117,825ff3e9_20251210_192335,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
7037,601,289870005,no,1.0,4.5,2025-12-12T01:02:32.954282,a5909497_20251211_232822,Question: Is this a freight train? Answer the question using a single word or phrase. Answer:,yes/no,아니요,no,no,0.0,0.7335874438285828,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,Humans,humans,inst blind,is this a,Yes/No,no
