index	question	image	answer	category	l2_category	meta_info	image_path	A	B	C	D
19	What emotion is illustrated in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=275x183 at 0x7109C46F9030>	A	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/18.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
20	Which of the following is the most accurate statement of the cartoonist's meaning?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x660 at 0x7109C46FA500>	B	coarse perception	image scene and topic	{'source': 'MMMU', 'split': 'val', 'image_path': 'images/19.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
21	What is the primary focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46FAE90>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/20.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
22	What is the overall theme of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/21.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
23	What is the main color scheme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46FBF70>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/22.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
24	What is the overall mood of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x364 at 0x7109C46FB3D0>	A	coarse perception	image emotion	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/23.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
25	Which action is performed in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x288 at 0x7109C46F90C0>	C	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/24.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
26	What is the weather like in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FA7D0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/25.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
27	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46F9B40>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/26.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
28	What is happening in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x455 at 0x7109C46F9030>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/27.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
29	What is the primary activity depicted in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=319x512 at 0x7109C46FA500>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/28.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
30	What is the main purpose of this garden?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FAE90>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/29.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
31	What is the prominent feature of the setting in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F8CA0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/30.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
32	Which of the following words best describes the theme of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FBF70>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/31.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
33	What is the predominant feature in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FB3D0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/32.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
34	What kind of environment is depicted in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x346 at 0x7109C46F90C0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/33.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
35	What is the dominant color in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FA7D0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/34.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
36	What is the dominant color in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x277 at 0x7109C46F9B40>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/35.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
37	What is the overall scene depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x340 at 0x7109C46F9030>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/36.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
38	What is the predominant color in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FA500>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/37.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
39	Which of the following best describes the view from the deck?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FAE90>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/38.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
40	What is the subject of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x288 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/39.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
41	What type of scene is depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FBF70>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/40.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
42	What is the general theme of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=459x512 at 0x7109C46FB3D0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/41.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
43	Which image shows the highest contrast?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x7109C46F90C0>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/42.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
44	Based on the image, which statement best describes the likely purpose of the setting?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FA7D0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/43.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
45	What kind of sport is being played in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x370 at 0x7109C46F9B40>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/44.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
46	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
47	Which image shows the highest sharpness?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x7109C46FA500>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/46.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
48	What kind of weather is depicted in the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46FAE90>	C	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/47.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
49	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x420 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/48.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
50	Which image is more brightful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46FBF70>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/49.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
51	which image is more colorful?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x192 at 0x7109C46FB3D0>	A	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/50.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
52	what style is depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F90C0>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/51.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
53	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FA7D0>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/52.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
54	Which emotion is being depicted in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46F9B40>	B	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/53.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
55	Which term matches the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x267 at 0x7109C46F9030>	A	coarse perception	image scene and topic	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/54.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
56	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46FA500>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/55.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
57	What color dominates the logo seen on the wall?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=443x512 at 0x7109C46FAE90>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/56.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
58	What is the main theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F8CA0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/57.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
59	Based on the image, what could be an appropriate title for this scene?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x289 at 0x7109C46FBF70>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/58.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
60	What is the main color of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x512 at 0x7109C46FB3D0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/59.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
61	What is the main color scheme of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=410x512 at 0x7109C46F90C0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/60.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
62	What is the overall mood of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FA7D0>	B	coarse perception	image emotion	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/61.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
63	What is the main feature of this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F9B40>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/62.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
64	What is the prominent color in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F9030>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/63.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
65	What is the main feature of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA500>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/64.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
66	What is the dominant color in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x320 at 0x7109C46FAE90>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/65.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
67	What is the main feature of the pictured place?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/66.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
68	What is the dominant color scheme in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46FBF70>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/67.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
69	What is the overall mood or atmosphere of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FB3D0>	A	coarse perception	image emotion	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/68.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
70	Which mood does this image convey?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F90C0>	D	coarse perception	image emotion	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/69.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
71	What is the main object present in the foreground of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46FA7D0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/70.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
72	What is the primary scene depicted in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46F9B40>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/71.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
73	What kind of room is depicted in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x320 at 0x7109C46F9030>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/72.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
74	Which image shows the highest colorfulness?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x7109C46FA500>	D	coarse perception	image style & quality	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/73.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
75	What is the predominant sport being played in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46FAE90>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/74.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
76	What is the predominant feature of the forest in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x323 at 0x7109C46F8CA0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/75.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
77	What is the main theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x288 at 0x7109C46FBF70>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/76.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
78	What is happening in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x365 at 0x7109C46FB3D0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/77.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
79	What is the color theme of the bathroom?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46F90C0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/78.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
80	Where is the largest body of water in the image located?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA7D0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/79.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
81	What is the dominant color of the clothing worn by people in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46F9B40>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/80.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
82	What is the most frequent color shown in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x342 at 0x7109C46F9030>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/81.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
83	What is the overall theme of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=409x512 at 0x7109C46FA500>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/82.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
84	What is the main object in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=410x512 at 0x7109C46FAE90>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/83.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
85	What is the primary focus of the people in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x420 at 0x7109C46F8CA0>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/84.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
86	What is the most prominent feature in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FBF70>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/85.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
87	What is the most prominent feature in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=358x512 at 0x7109C46FB3D0>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/86.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
88	What is the dominant color of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F90C0>	C	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/87.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
89	What is the main focus of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=269x512 at 0x7109C46FA7D0>	B	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/88.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
90	Which object is the most central in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x475 at 0x7109C46F9B40>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/89.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
91	What is the dominant color in the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=342x512 at 0x7109C46F9030>	D	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/90.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
92	What is the main subject of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x512 at 0x7109C46FA500>	A	coarse perception	image scene and topic	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/91.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
