file,model,dataset,condition,accuracy,correct,total,by_category
mmstar.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,mmstar,,0.586,879,1500,"{'coarse perception': {'accuracy': 0.704, 'correct': 176, 'total': 250}, 'fine-grained perception': {'accuracy': 0.552, 'correct': 138, 'total': 250}, 'instance reasoning': {'accuracy': 0.7, 'correct': 175, 'total': 250}, 'logical reasoning': {'accuracy': 0.596, 'correct': 149, 'total': 250}, 'math': {'accuracy': 0.564, 'correct': 141, 'total': 250}, 'science & technology': {'accuracy': 0.4, 'correct': 100, 'total': 250}}"
mmstar_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,mmstar,_inst_blind,0.2673333333333333,401,1500,"{'coarse perception': {'accuracy': 0.28, 'correct': 70, 'total': 250}, 'fine-grained perception': {'accuracy': 0.276, 'correct': 69, 'total': 250}, 'instance reasoning': {'accuracy': 0.276, 'correct': 69, 'total': 250}, 'logical reasoning': {'accuracy': 0.232, 'correct': 58, 'total': 250}, 'math': {'accuracy': 0.38, 'correct': 95, 'total': 250}, 'science & technology': {'accuracy': 0.16, 'correct': 40, 'total': 250}}"
spubench.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,spubench,,0.7404166666666666,1777,2400,"{'Unknown': {'accuracy': 0.7404166666666666, 'correct': 1777, 'total': 2400}}"
spubench_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,spubench,_inst_blind,0.43583333333333335,1046,2400,"{'Unknown': {'accuracy': 0.43583333333333335, 'correct': 1046, 'total': 2400}}"
vqa_1k.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,vqa_1k,,0.75,750,1000,"{'what is the woman': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'is the man': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what is the': {'accuracy': 0.6538461538461539, 'correct': 34, 'total': 52}, 'is the': {'accuracy': 0.9431818181818182, 'correct': 83, 'total': 88}, 'is this': {'accuracy': 0.875, 'correct': 35, 'total': 40}, 'does this': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what is': {'accuracy': 0.5483870967741935, 'correct': 17, 'total': 31}, 'is': {'accuracy': 0.7692307692307693, 'correct': 10, 'total': 13}, 'what': {'accuracy': 0.6071428571428571, 'correct': 51, 'total': 84}, 'none of the above': {'accuracy': 0.7297297297297297, 'correct': 27, 'total': 37}, 'what are': {'accuracy': 0.7, 'correct': 7, 'total': 10}, 'what color is': {'accuracy': 0.875, 'correct': 7, 'total': 8}, 'is the woman': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many': {'accuracy': 0.6823529411764706, 'correct': 58, 'total': 85}, 'what type of': {'accuracy': 0.5263157894736842, 'correct': 10, 'total': 19}, 'what is in the': {'accuracy': 0.5454545454545454, 'correct': 6, 'total': 11}, 'what does the': {'accuracy': 0.6, 'correct': 9, 'total': 15}, 'what is this': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'do': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'is this a': {'accuracy': 0.975609756097561, 'correct': 40, 'total': 41}, 'is there a': {'accuracy': 1.0, 'correct': 21, 'total': 21}, 'is this an': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'what is on the': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'is there': {'accuracy': 1.0, 'correct': 13, 'total': 13}, 'where is the': {'accuracy': 0.4666666666666667, 'correct': 7, 'total': 15}, 'why': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what is the name': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'who is': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'are they': {'accuracy': 1.0, 'correct': 6, 'total': 6}, 'what kind of': {'accuracy': 0.5833333333333334, 'correct': 14, 'total': 24}, 'does the': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what color is the': {'accuracy': 0.847457627118644, 'correct': 50, 'total': 59}, 'what color are the': {'accuracy': 0.9090909090909091, 'correct': 10, 'total': 11}, 'what is the person': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'which': {'accuracy': 0.5, 'correct': 7, 'total': 14}, 'what color': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'are the': {'accuracy': 0.8095238095238095, 'correct': 17, 'total': 21}, 'what is the man': {'accuracy': 0.38461538461538464, 'correct': 5, 'total': 13}, 'why is the': {'accuracy': 0.2, 'correct': 1, 'total': 5}, 'what are the': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'what is the color of the': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'are these': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'where are the': {'accuracy': 0.2857142857142857, 'correct': 2, 'total': 7}, 'could': {'accuracy': 1.0, 'correct': 7, 'total': 7}, 'is it': {'accuracy': 1.0, 'correct': 15, 'total': 15}, 'how': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'what animal is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'is that a': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'was': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are there': {'accuracy': 1.0, 'correct': 10, 'total': 10}, 'do you': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what number is': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'what sport is': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'is he': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many people are in': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'are there any': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_1k_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,vqa_1k,_inst_blind,0.33,330,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 0.5555555555555556, 'correct': 5, 'total': 9}, 'what is the': {'accuracy': 0.11538461538461539, 'correct': 6, 'total': 52}, 'is the': {'accuracy': 0.6136363636363636, 'correct': 54, 'total': 88}, 'is this': {'accuracy': 0.6, 'correct': 24, 'total': 40}, 'does this': {'accuracy': 0.7142857142857143, 'correct': 10, 'total': 14}, 'what is': {'accuracy': 0.0967741935483871, 'correct': 3, 'total': 31}, 'is': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'what': {'accuracy': 0.10714285714285714, 'correct': 9, 'total': 84}, 'none of the above': {'accuracy': 0.40540540540540543, 'correct': 15, 'total': 37}, 'what are': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'what color is': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'is the woman': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'how many': {'accuracy': 0.3058823529411765, 'correct': 26, 'total': 85}, 'what type of': {'accuracy': 0.15789473684210525, 'correct': 3, 'total': 19}, 'what is in the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what does the': {'accuracy': 0.06666666666666667, 'correct': 1, 'total': 15}, 'what is this': {'accuracy': 0.0, 'correct': 0, 'total': 10}, 'do': {'accuracy': 0.6666666666666666, 'correct': 8, 'total': 12}, 'is this a': {'accuracy': 0.6097560975609756, 'correct': 25, 'total': 41}, 'is there a': {'accuracy': 0.5238095238095238, 'correct': 11, 'total': 21}, 'is this an': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what is on the': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'is there': {'accuracy': 0.46153846153846156, 'correct': 6, 'total': 13}, 'where is the': {'accuracy': 0.06666666666666667, 'correct': 1, 'total': 15}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'who is': {'accuracy': 0.0, 'correct': 0, 'total': 6}, 'are they': {'accuracy': 0.6666666666666666, 'correct': 4, 'total': 6}, 'what kind of': {'accuracy': 0.16666666666666666, 'correct': 4, 'total': 24}, 'does the': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'what color is the': {'accuracy': 0.13559322033898305, 'correct': 8, 'total': 59}, 'what color are the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'which': {'accuracy': 0.14285714285714285, 'correct': 2, 'total': 14}, 'what color': {'accuracy': 0.25, 'correct': 3, 'total': 12}, 'are the': {'accuracy': 0.47619047619047616, 'correct': 10, 'total': 21}, 'what is the man': {'accuracy': 0.0, 'correct': 0, 'total': 13}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'what are the': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'what is the color of the': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'are these': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'where are the': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'could': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'is it': {'accuracy': 0.6666666666666666, 'correct': 10, 'total': 15}, 'how': {'accuracy': 0.0, 'correct': 0, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.2857142857142857, 'correct': 2, 'total': 7}, 'what animal is': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.6666666666666666, 'correct': 8, 'total': 12}, 'is that a': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'was': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are there': {'accuracy': 0.4, 'correct': 4, 'total': 10}, 'do you': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'what sport is': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'is he': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many people are in': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'are there any': {'accuracy': 0.6666666666666666, 'correct': 6, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_5k.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,vqa_5k,,0.7584,3792,5000,"{'what are': {'accuracy': 0.43243243243243246, 'correct': 16, 'total': 37}, 'what is the': {'accuracy': 0.6317829457364341, 'correct': 163, 'total': 258}, 'is this a': {'accuracy': 0.9526627218934911, 'correct': 161, 'total': 169}, 'is': {'accuracy': 0.9420289855072463, 'correct': 65, 'total': 69}, 'how many': {'accuracy': 0.688, 'correct': 344, 'total': 500}, 'is the': {'accuracy': 0.9138755980861244, 'correct': 382, 'total': 418}, 'does the': {'accuracy': 0.8625, 'correct': 69, 'total': 80}, 'what is': {'accuracy': 0.64375, 'correct': 103, 'total': 160}, 'what': {'accuracy': 0.6228571428571429, 'correct': 218, 'total': 350}, 'what color is the': {'accuracy': 0.8231511254019293, 'correct': 256, 'total': 311}, 'none of the above': {'accuracy': 0.7272727272727273, 'correct': 144, 'total': 198}, 'are these': {'accuracy': 0.92, 'correct': 69, 'total': 75}, 'what type of': {'accuracy': 0.5346534653465347, 'correct': 54, 'total': 101}, 'what color are the': {'accuracy': 0.8450704225352113, 'correct': 60, 'total': 71}, 'are there': {'accuracy': 0.9436619718309859, 'correct': 67, 'total': 71}, 'what are the': {'accuracy': 0.6176470588235294, 'correct': 42, 'total': 68}, 'can you': {'accuracy': 0.8421052631578947, 'correct': 16, 'total': 19}, 'where are the': {'accuracy': 0.39285714285714285, 'correct': 11, 'total': 28}, 'how': {'accuracy': 0.15384615384615385, 'correct': 8, 'total': 52}, 'what is on the': {'accuracy': 0.6909090909090909, 'correct': 38, 'total': 55}, 'how many people are': {'accuracy': 0.8333333333333334, 'correct': 30, 'total': 36}, 'is there a': {'accuracy': 0.9736842105263158, 'correct': 111, 'total': 114}, 'is the man': {'accuracy': 0.9305555555555556, 'correct': 67, 'total': 72}, 'is there': {'accuracy': 0.9487179487179487, 'correct': 74, 'total': 78}, 'are they': {'accuracy': 0.9, 'correct': 27, 'total': 30}, 'where is the': {'accuracy': 0.4878048780487805, 'correct': 40, 'total': 82}, 'is this': {'accuracy': 0.9315789473684211, 'correct': 177, 'total': 190}, 'who is': {'accuracy': 0.6206896551724138, 'correct': 18, 'total': 29}, 'is he': {'accuracy': 0.9166666666666666, 'correct': 22, 'total': 24}, 'is that a': {'accuracy': 0.9473684210526315, 'correct': 18, 'total': 19}, 'what animal is': {'accuracy': 0.9375, 'correct': 15, 'total': 16}, 'what kind of': {'accuracy': 0.5467625899280576, 'correct': 76, 'total': 139}, 'what brand': {'accuracy': 0.75, 'correct': 15, 'total': 20}, 'are': {'accuracy': 0.9056603773584906, 'correct': 48, 'total': 53}, 'was': {'accuracy': 1.0, 'correct': 25, 'total': 25}, 'what is the man': {'accuracy': 0.7910447761194029, 'correct': 53, 'total': 67}, 'what color': {'accuracy': 0.775, 'correct': 31, 'total': 40}, 'what is this': {'accuracy': 0.5813953488372093, 'correct': 25, 'total': 43}, 'why': {'accuracy': 0.21951219512195122, 'correct': 9, 'total': 41}, 'is it': {'accuracy': 0.9651162790697675, 'correct': 83, 'total': 86}, 'is the person': {'accuracy': 0.9333333333333333, 'correct': 14, 'total': 15}, 'what is the name': {'accuracy': 0.64, 'correct': 16, 'total': 25}, 'do you': {'accuracy': 0.8235294117647058, 'correct': 14, 'total': 17}, 'why is the': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'does this': {'accuracy': 0.8867924528301887, 'correct': 47, 'total': 53}, 'do': {'accuracy': 0.9032258064516129, 'correct': 28, 'total': 31}, 'what does the': {'accuracy': 0.5714285714285714, 'correct': 24, 'total': 42}, 'are the': {'accuracy': 0.9193548387096774, 'correct': 114, 'total': 124}, 'what color is': {'accuracy': 0.7878787878787878, 'correct': 26, 'total': 33}, 'what time': {'accuracy': 0.21875, 'correct': 7, 'total': 32}, 'which': {'accuracy': 0.559322033898305, 'correct': 33, 'total': 59}, 'what is in the': {'accuracy': 0.7297297297297297, 'correct': 27, 'total': 37}, 'is this an': {'accuracy': 1.0, 'correct': 18, 'total': 18}, 'are there any': {'accuracy': 0.9666666666666667, 'correct': 29, 'total': 30}, 'could': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'how many people are in': {'accuracy': 0.7058823529411765, 'correct': 12, 'total': 17}, 'what is the woman': {'accuracy': 0.8235294117647058, 'correct': 14, 'total': 17}, 'what room is': {'accuracy': 0.9444444444444444, 'correct': 17, 'total': 18}, 'what is the person': {'accuracy': 0.47619047619047616, 'correct': 10, 'total': 21}, 'what sport is': {'accuracy': 0.9411764705882353, 'correct': 16, 'total': 17}, 'is the woman': {'accuracy': 0.8518518518518519, 'correct': 23, 'total': 27}, 'is this person': {'accuracy': 0.6923076923076923, 'correct': 9, 'total': 13}, 'has': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what is the color of the': {'accuracy': 0.8571428571428571, 'correct': 12, 'total': 14}, 'what number is': {'accuracy': 0.75, 'correct': 9, 'total': 12}}"
vqa_5k_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,vqa_5k,_inst_blind,0.3516,1758,5000,"{'what are': {'accuracy': 0.08108108108108109, 'correct': 3, 'total': 37}, 'what is the': {'accuracy': 0.1511627906976744, 'correct': 39, 'total': 258}, 'is this a': {'accuracy': 0.5680473372781065, 'correct': 96, 'total': 169}, 'is': {'accuracy': 0.5507246376811594, 'correct': 38, 'total': 69}, 'how many': {'accuracy': 0.286, 'correct': 143, 'total': 500}, 'is the': {'accuracy': 0.6148325358851675, 'correct': 257, 'total': 418}, 'does the': {'accuracy': 0.6, 'correct': 48, 'total': 80}, 'what is': {'accuracy': 0.1125, 'correct': 18, 'total': 160}, 'what': {'accuracy': 0.14857142857142858, 'correct': 52, 'total': 350}, 'what color is the': {'accuracy': 0.3279742765273312, 'correct': 102, 'total': 311}, 'none of the above': {'accuracy': 0.45454545454545453, 'correct': 90, 'total': 198}, 'are these': {'accuracy': 0.56, 'correct': 42, 'total': 75}, 'what type of': {'accuracy': 0.04950495049504951, 'correct': 5, 'total': 101}, 'what color are the': {'accuracy': 0.30985915492957744, 'correct': 22, 'total': 71}, 'are there': {'accuracy': 0.5070422535211268, 'correct': 36, 'total': 71}, 'what are the': {'accuracy': 0.08823529411764706, 'correct': 6, 'total': 68}, 'can you': {'accuracy': 0.47368421052631576, 'correct': 9, 'total': 19}, 'where are the': {'accuracy': 0.03571428571428571, 'correct': 1, 'total': 28}, 'how': {'accuracy': 0.057692307692307696, 'correct': 3, 'total': 52}, 'what is on the': {'accuracy': 0.12727272727272726, 'correct': 7, 'total': 55}, 'how many people are': {'accuracy': 0.4444444444444444, 'correct': 16, 'total': 36}, 'is there a': {'accuracy': 0.6228070175438597, 'correct': 71, 'total': 114}, 'is the man': {'accuracy': 0.5, 'correct': 36, 'total': 72}, 'is there': {'accuracy': 0.5512820512820513, 'correct': 43, 'total': 78}, 'are they': {'accuracy': 0.43333333333333335, 'correct': 13, 'total': 30}, 'where is the': {'accuracy': 0.10975609756097561, 'correct': 9, 'total': 82}, 'is this': {'accuracy': 0.6105263157894737, 'correct': 116, 'total': 190}, 'who is': {'accuracy': 0.13793103448275862, 'correct': 4, 'total': 29}, 'is he': {'accuracy': 0.5833333333333334, 'correct': 14, 'total': 24}, 'is that a': {'accuracy': 0.6842105263157895, 'correct': 13, 'total': 19}, 'what animal is': {'accuracy': 0.3125, 'correct': 5, 'total': 16}, 'what kind of': {'accuracy': 0.11510791366906475, 'correct': 16, 'total': 139}, 'what brand': {'accuracy': 0.15, 'correct': 3, 'total': 20}, 'are': {'accuracy': 0.5849056603773585, 'correct': 31, 'total': 53}, 'was': {'accuracy': 0.36, 'correct': 9, 'total': 25}, 'what is the man': {'accuracy': 0.05970149253731343, 'correct': 4, 'total': 67}, 'what color': {'accuracy': 0.175, 'correct': 7, 'total': 40}, 'what is this': {'accuracy': 0.09302325581395349, 'correct': 4, 'total': 43}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 41}, 'is it': {'accuracy': 0.686046511627907, 'correct': 59, 'total': 86}, 'is the person': {'accuracy': 0.6, 'correct': 9, 'total': 15}, 'what is the name': {'accuracy': 0.08, 'correct': 2, 'total': 25}, 'do you': {'accuracy': 0.4117647058823529, 'correct': 7, 'total': 17}, 'why is the': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'does this': {'accuracy': 0.6037735849056604, 'correct': 32, 'total': 53}, 'do': {'accuracy': 0.5483870967741935, 'correct': 17, 'total': 31}, 'what does the': {'accuracy': 0.09523809523809523, 'correct': 4, 'total': 42}, 'are the': {'accuracy': 0.7096774193548387, 'correct': 88, 'total': 124}, 'what color is': {'accuracy': 0.3333333333333333, 'correct': 11, 'total': 33}, 'what time': {'accuracy': 0.03125, 'correct': 1, 'total': 32}, 'which': {'accuracy': 0.15254237288135594, 'correct': 9, 'total': 59}, 'what is in the': {'accuracy': 0.13513513513513514, 'correct': 5, 'total': 37}, 'is this an': {'accuracy': 0.6111111111111112, 'correct': 11, 'total': 18}, 'are there any': {'accuracy': 0.6333333333333333, 'correct': 19, 'total': 30}, 'could': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'how many people are in': {'accuracy': 0.17647058823529413, 'correct': 3, 'total': 17}, 'what is the woman': {'accuracy': 0.11764705882352941, 'correct': 2, 'total': 17}, 'what room is': {'accuracy': 0.1111111111111111, 'correct': 2, 'total': 18}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 21}, 'what sport is': {'accuracy': 0.058823529411764705, 'correct': 1, 'total': 17}, 'is the woman': {'accuracy': 0.5925925925925926, 'correct': 16, 'total': 27}, 'is this person': {'accuracy': 0.46153846153846156, 'correct': 6, 'total': 13}, 'has': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'what is the color of the': {'accuracy': 0.2857142857142857, 'correct': 4, 'total': 14}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 12}}"
mmstar.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,mmstar,,0.6006666666666667,901,1500,"{'coarse perception': {'accuracy': 0.724, 'correct': 181, 'total': 250}, 'fine-grained perception': {'accuracy': 0.544, 'correct': 136, 'total': 250}, 'instance reasoning': {'accuracy': 0.688, 'correct': 172, 'total': 250}, 'logical reasoning': {'accuracy': 0.6, 'correct': 150, 'total': 250}, 'math': {'accuracy': 0.604, 'correct': 151, 'total': 250}, 'science & technology': {'accuracy': 0.444, 'correct': 111, 'total': 250}}"
mmstar_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,mmstar,_blind,0.302,453,1500,"{'coarse perception': {'accuracy': 0.26, 'correct': 65, 'total': 250}, 'fine-grained perception': {'accuracy': 0.28, 'correct': 70, 'total': 250}, 'instance reasoning': {'accuracy': 0.304, 'correct': 76, 'total': 250}, 'logical reasoning': {'accuracy': 0.352, 'correct': 88, 'total': 250}, 'math': {'accuracy': 0.364, 'correct': 91, 'total': 250}, 'science & technology': {'accuracy': 0.252, 'correct': 63, 'total': 250}}"
mmstar_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,mmstar,_inst_blind,0.29333333333333333,440,1500,"{'coarse perception': {'accuracy': 0.24, 'correct': 60, 'total': 250}, 'fine-grained perception': {'accuracy': 0.28, 'correct': 70, 'total': 250}, 'instance reasoning': {'accuracy': 0.296, 'correct': 74, 'total': 250}, 'logical reasoning': {'accuracy': 0.34, 'correct': 85, 'total': 250}, 'math': {'accuracy': 0.364, 'correct': 91, 'total': 250}, 'science & technology': {'accuracy': 0.24, 'correct': 60, 'total': 250}}"
spubench.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,spubench,,0.7294117647058823,62,85,"{'Unknown': {'accuracy': 0.7294117647058823, 'correct': 62, 'total': 85}}"
spubench_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,spubench,_blind,0.5091666666666667,1222,2400,"{'Unknown': {'accuracy': 0.5091666666666667, 'correct': 1222, 'total': 2400}}"
spubench_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct/D1_JS_mmstar_blind,spubench,_inst_blind,0.4741666666666667,1138,2400,"{'Unknown': {'accuracy': 0.4741666666666667, 'correct': 1138, 'total': 2400}}"
