,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
10,"['handle', 'spout', 'cylindrical body']","['horizontal', 'patterned carpet', 'nearby foot']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying horizontally on the patterned carpet?,"['A. The nearby foot', 'B. The horizontal position', ""C. The object's spout"", 'D. The patterned carpet']",C,000130.png,choice,s130
11,"['wooden frame', 'sliding mechanism', 'storage space']","['colorful fabric', 'comb', 'plastic container', 'toiletries']","['Co-occurring Objects', 'Perspective and Angle']",Which feature best indicates the identity of the object that contains colorful fabric and toiletries?,"['A. The colorful fabric', 'B. The wooden frame', 'C. The plastic container', 'D. The comb']",B,000122.png,choice,s122
12,"['protective covering', 'rectangular shape', 'fits cellphone']","['lamp', 'lace doily', 'nightstand', 'wires']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object lying on the lace doily?,"['A. The lamp', 'B. The protective covering', 'C. The nightstand', 'D. The lace doily']",B,000383.png,choice,s383
13,"['rectangular shape', 'small size', 'stacked', 'decorative design']","['on laptop', 'wooden desk', 'flat surface', 'laptop logo', 'paper clip']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the objects stacked on the laptop?,"['A. The wooden desk', 'B. The paper clip', ""C. The objects' decorative design"", 'D. The laptop logo']",C,000895.png,choice,s895
14,"['flexible body', 'dispensing cap', 'tube shape', 'handheld size', 'label']","['cluttered background', 'similar containers', 'handheld', 'blue color', 'on a table']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the blue object being held?,"['A. The similar containers nearby', ""B. The object's flexible body"", 'C. The cluttered background', 'D. The blue color']",B,000952.png,choice,s952
15,"['slender legs', 'curved horns', 'brown coat', 'grazing posture']","['open plain', 'background animal', 'bending down', 'grass']","['Background', 'Orientation']",Which feature best indicates the identity of the object bending down in the open plain?,"['A. Open plain', 'B. Background animal', 'C. Grass', 'D. Slender legs']",D,002069.png,choice,s2069
16,"['plug type', 'two prongs', 'cable structure']","['hand holding', 'carpet background', 'label on cable']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object held in the hand on the carpet?,"['A. The label on the cable', 'B. The hand holding it', 'C. The carpet background', ""D. The object's plug type""]",D,000108.png,choice,s108
17,"['facial features', 'thick fur', 'eyes', 'nose']","['upside down', 'fur texture', 'monochrome', 'drawing style']","['Orientation', 'Texture and Noise']",Which feature best indicates the identity of the object that is upside down in the image?,"['A. The monochrome color', 'B. The drawing style', ""C. The object's eyes and nose"", 'D. The fur texture']",C,002298.png,choice,s2298
18,"['circular shape', 'metallic structure', 'small size']","['bottles', 'containers', 'bathroom shelf', 'labels', 'creams']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the small metallic object on the bathroom shelf?,"['A. The labels', 'B. The circular shape', 'C. The bottles', 'D. The cream containers']",B,000814.png,choice,s814
19,"['landscape', 'natural formation', 'rocky terrain', 'flowing water']","['motion blur', 'flowing water', 'abstract shapes', 'color blend']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object with flowing water and motion blur?,"['A. Flowing water', 'B. Color blend', 'C. Rocky terrain', 'D. Abstract shapes']",C,002232.png,choice,s2232
20,"['large size', 'soft texture', 'warmth', 'folded', 'patterned']","['couch', 'folded appearance', 'pillow nearby', 'wall art', 'indoor setting']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object that is folded on the couch?,"[""A. The object's soft texture"", 'B. The pillow nearby', 'C. The wall art', 'D. The couch']",A,001718.png,choice,s1718
21,"['transparent container', 'cylindrical shape', 'liquid content']","['kitchen sink', 'held in hand', 'blurry image']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held near the kitchen sink?,"['A. The kitchen sink', 'B. The blurry image', ""C. The object's transparent container"", 'D. The hand holding it']",C,000902.png,choice,s902
22,"['circular shape', 'spokes', 'rim', 'hub']","['bicycle frame', 'seat', 'pedal', 'kickstand']","['Co-occurring Objects', 'Perspective and Angle']",Which feature best indicates the identity of the object that is part of a larger structure and has spokes?,"['A. Circular shape with spokes', 'B. Pedal', 'C. Bicycle frame', 'D. Seat']",A,001839.png,choice,s1839
23,"['plastic material', 'flexible', 'rectangular', 'thin']","['black color', 'elongated shape', 'held position', 'indoor setting']","['Colorization', 'Orientation']",Which feature best indicates the identity of the black object being held?,"['A. The elongated shape', 'B. Its plastic material', 'C. The black color', 'D. The indoor setting']",B,001139.png,choice,s1139
24,"['rectangular shape', 'solid structure', 'patterned surface']","['bathroom counter', 'mirror', 'light switches', 'sink']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the bathroom counter?,"['A. The mirror', 'B. The sink', 'C. The light switches', ""D. The object's patterned surface""]",D,000026.png,choice,s26
25,"['open top', 'cylindrical shape', 'plastic material']","['tipped over', 'minimalistic room', 'curtains', 'carpet']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over in the room?,"['A. The carpet', 'B. The curtains', ""C. The object's open top"", 'D. The minimalistic room']",C,000653.png,choice,s653
26,"['fabric', 'sleeves', 'collar', 'checkered pattern']","['kitchen counter', 'microwave', 'clothes hanger', 'jars']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object hanging in the kitchen?,"['A. The fabric and sleeves', 'B. The kitchen counter', 'C. The clothes hanger', 'D. The microwave']",A,001731.png,choice,s1731
27,"['base', 'lampshade', 'cord', 'light bulb']","['elongated shape', 'horizontal orientation', 'cluttered desk', 'computer accessories', 'bottle']","['Orientation', 'Co-occurring Objects']",Which feature best indicates the identity of the elongated object lying horizontally on the cluttered desk?,"['A. The bottle', 'B. The computer accessories', 'C. The cluttered desk', ""D. The object's base""]",D,001393.png,choice,s1393
28,"['cylindrical', 'wooden', 'long handle']","['nearby food items', 'kitchen counter', 'hand holding it']","['Background', 'Shape']",Which feature best indicates the identity of the object being held on the counter?,"['A. The kitchen counter', 'B. The nearby food items', ""C. The object's wooden cylindrical shape"", 'D. The hand holding it']",C,001138.png,choice,s1138
29,"['metallic body', 'rectangular shape', 'hinged lid', 'spout']","['coffee beans image', 'hand holding', 'tilted orientation', 'background tiles', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tilted and being held?,"['A. Hand holding', 'B. Coffee beans image', 'C. Background tiles', 'D. Hinged lid']",D,000636.png,choice,s636
30,"['button layout', 'brand logo', 'infrared emitter']","['cylindrical shape', 'black color', 'single button']","['Shape', 'Colorization']",Which feature best indicates the identity of the cylindrical black object with a single button on it?,"['A. The button layout', 'B. The black color', 'C. The cylindrical shape', 'D. The texture of the surface']",A,000881.png,choice,s881
31,"['soleplate', 'handle', 'cord']","['nearby fabrics', 'cord position', 'floor tiles', 'patterns']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the fabrics?,"['A. The cord position', 'B. Floor tiles', ""C. The object's soleplate"", 'D. The nearby fabrics']",C,001378.png,choice,s1378
32,"['two-pronged plug', 'insulated wire', 'handheld', 'right-angle connector']","['white color', 'hand holding', 'background cabinet']","['Relative Size', 'Shape']",Which feature best indicates the identity of the object that is handheld and has a right-angle connector?,"['A. The white color', ""B. The object's two-pronged plug"", 'C. The background cabinet', 'D. The hand holding']",B,000418.png,choice,s418
33,"['adhesive surface', 'ring-like shape', 'circular form']","['reflective surface', 'yellow object nearby', 'dark background', 'angled position']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object that is reflective and circular?,"['A. The yellow object nearby', 'B. The reflective surface', 'C. The dark background', 'D. The adhesive surface']",D,000379.png,choice,s379
34,"['checkerboard pattern', 'vertical numbers', 'letters']","['upright position', 'nearby phone', 'computer', 'bedframe', 'glass']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is upright against the bed?,"['A. The nearby phone', 'B. The bedframe', 'C. The checkerboard pattern', 'D. The glass']",C,001556.png,choice,s1556
35,"['serrated blade', 'long handle', 'sharp edge', 'cutting tool']","['wooden surface', 'small size', 'sharp point', 'metallic look']","['Background', 'Relative Size']",Which feature best indicates the identity of the object placed on the wooden surface?,"['A. Its serrated blade', 'B. Its small size', 'C. Its sharp point', 'D. The wooden surface']",A,000396.png,choice,s396
36,"['closed', 'rectangular', 'spine', 'flat', 'compact']","['near door', 'on carpet', 'purple color', 'wires nearby']","['Background', 'Orientation']",Which feature best indicates the identity of the purple object near the door?,"['A. The door frame', 'B. The nearby wires', 'C. Its rectangular shape', 'D. The carpet']",C,001470.png,choice,s1470
37,"['keys', 'layout', 'black color', 'red accents']","['laptop screen', 'touchpad', 'brush', 'wooden desk', 'lighting glare']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object with the black keys and red accents?,"['A. The laptop screen', 'B. The touchpad', 'C. The brush', 'D. The black keys']",D,001408.png,choice,s1408
38,"['spring-loaded', 'claw shape', 'plastic material', 'teeth']","['towel', 'soap dispenser', 'nail clippers', 'sink']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the towel and soap dispenser?,"['A. The towel', 'B. The soap dispenser', 'C. The sink', ""D. The object's claw shape""]",D,001083.png,choice,s1083
39,"['transparent jar', 'white contents', 'metal lid']","['kitchen counter', 'tipped over', 'near colorful jar', 'granite surface']","['Background', 'Orientation']",Which feature best indicates the identity of the transparent object tipped over near the colorful jar?,"[""A. The object's contents"", 'B. The colorful jar', 'C. The kitchen counter', 'D. The granite surface']",A,000177.png,choice,s177
40,"['soft fabric', 'absorbent', 'used for drying']","['folded', 'in closet', 'near other clothes', 'multiple items', 'dim lighting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the folded item in the closet?,"['A. The closet setting', 'B. The presence of other clothes', ""C. The item's soft fabric"", 'D. Multiple stacked items']",C,001881.png,choice,s1881
41,"['long handle', 'scooping part', 'metallic', 'water container']","['rain', 'red objects', 'concrete background', 'horizontal layout']","['Background', 'Orientation']",Which feature best indicates the identity of the object with a long handle lying horizontally?,"['A. The red objects', 'B. The long handle', 'C. The rain', 'D. The concrete background']",B,002196.png,choice,s2196
42,"['blade', 'handle', 'straight shape', 'small size']","['fabric background', 'patterned texture', 'purple color', 'blurry edges']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object on the patterned fabric?,"['A. The purple color', ""B. The object's blade"", 'C. The patterned fabric', ""D. The fabric's texture""]",B,000511.png,choice,s511
43,"['round shape', 'open top', 'bowl depth']","['laptop', 'documents', 'ruler', 'pencil', 'feet']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the documents and laptop?,"['A. The documents', 'B. The laptop', 'C. The pencil', 'D. The round shape']",D,001550.png,choice,s1550
44,"['small size', 'round compartments', 'white color']","['pill organizer', 'nightstand', 'photograph frame', 'pen']","['Background', 'Co-occurring Objects']","Which feature best indicates the identity of the small, white object on the table?","['A. The pen', 'B. The pill organizer', ""C. The object's round compartments"", 'D. The photograph frame']",C,000322.png,choice,s322
45,"['small size', 'distinct fur', 'upright posture']","['reflective surface', 'textured floor', 'background objects']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with distinct fur?,"[""A. The object's upright posture"", 'B. The background objects', 'C. The reflective surface', 'D. The textured floor']",A,002261.png,choice,s2261
46,"['adjustable jaws', 'locking mechanism', 'metal body']","['metallic texture', 'handle structure', 'green background']","['Texture and Noise', 'Shape']",Which feature best indicates the identity of the metallic tool visible in the image?,"['A. The green background', 'B. Its metallic texture', 'C. Its adjustable jaws', 'D. Its handle structure']",C,001200.png,choice,s1200
47,"['soft surface', 'rectangular shape', 'on the bed', 'fabric cover']","['cluttered room', 'lamp', 'bed sheets', 'blanket', 'open drawer']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the soft object on the bed?,"['A. The lamp', 'B. The open drawer', 'C. The bed sheets', 'D. The rectangular shape']",D,001481.png,choice,s1481
48,"['lens', 'recording button', 'viewfinder', 'grip', 'microphone']","['case-like shape', 'handheld', 'black color', 'near keyboard', 'indoor setting']","['Shape', 'Co-occurring Objects']",What feature best indicates the identity of the object that is handheld and black in color?,"[""A. The object's lens"", 'B. The case-like shape', 'C. The nearby keyboard', 'D. The indoor setting']",A,000787.png,choice,s787
49,"['rectangular shape', 'handles', 'zippers', 'solid structure']","['stool', 'checkered floor', 'overhead view', 'obscured parts']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is on the checkered floor?,"['A. The stool', ""B. The object's zippers"", 'C. The overhead view', 'D. The checkered floor']",B,000284.png,choice,s284
50,"['handle', 'rectangular shape', 'latches', 'solid structure']","['mattress', 'cables', 'label', 'background floor']","['Background', 'Orientation']",Which feature best indicates the identity of the object near the mattress?,"['A. The cables', 'B. The label on it', 'C. The mattress', ""D. The object's handle""]",D,000187.png,choice,s187
51,"['cylindrical shape', 'open top', 'transparent material']","['nearby box', 'kitchen mitt', 'towel', 'tipped over', 'kitchen counter']","['Background', 'Orientation']",Which feature best indicates the identity of the item that is tipped over on the kitchen counter?,"['A. The cylindrical shape', 'B. The towel', 'C. The nearby box', 'D. The kitchen mitt']",A,000933.png,choice,s933
52,"['lock body', 'shackle', 'metallic finish']","['hand holding', 'small size', 'striped clothes']","['Co-occurring Objects', 'Relative Size']",Which feature best indicates the identity of the small metallic object being held?,"['A. Its small size', 'B. Its lock body', 'C. The striped clothes', 'D. The hand holding it']",B,001185.png,choice,s1185
53,"['flat surface', 'raised edges', 'rectangular', 'serving purpose']","['round shape', 'plain surface', 'white color', 'single item']","['Shape', 'Colorization']","Which feature best indicates the identity of the round, white object in the image?","[""A. The object's white color"", ""B. The object's plain surface"", ""C. The object's raised edges"", ""D. The object's round shape""]",C,000326.png,choice,s326
54,"['clear liquid', 'minty', 'oral hygiene']","['plastic bottle', 'blue label', 'flip-top cap', 'wooden floor']","['Background', 'Orientation']",Which feature best indicates the identity of the product with the blue label and flip-top cap?,"['A. Flip-top cap', 'B. Blue label', 'C. Wooden floor', 'D. Minty liquid']",D,000953.png,choice,s953
55,"['cylindrical shape', 'distinct texture', 'small size']","['nearby bottle', 'kitchen setting', 'texture', 'hand holding']","['Co-occurring Objects', 'Texture and Noise']",Which feature best indicates the identity of the object that is being held in the hand?,"['A. The nearby bottle', ""B. The object's cylindrical shape"", 'C. The kitchen setting', 'D. The hand holding it']",B,000413.png,choice,s413
56,"['nozzle', 'body', 'air flow', 'handheld', 'cord']","['outdoors', 'person holding', 'backpack', 'tubing', 'cap']","['Background', 'Orientation']",Which feature best indicates the identity of the object that the person is holding and using?,"['A. The cap', 'B. The backpack', 'C. The nozzle', 'D. The tubing']",C,002365.png,choice,s2365
57,"['distinctive plumage', 'small size', 'pointed beak', 'short tail']","['similar bird shapes', 'similar bird sizes', 'monochrome illustration', 'group of birds']","['Co-occurring Objects', 'Colorization']",Which feature best indicates the identity of the small bird in the group?,"['A. The group of birds', ""B. The bird's small size"", 'C. The similar bird shapes', 'D. The monochrome illustration']",B,002371.png,choice,s2371
58,"['smooth surface', 'rectangular shape', 'compact size']","['kitchen countertop', 'nearby kitchen items', 'black color', 'rectangular shape']","['Background', 'Relative Size']",Which feature best indicates the identity of the object that is on the kitchen countertop?,"[""A. The object's black color"", 'B. The smooth surface', 'C. The nearby kitchen items', 'D. The kitchen countertop']",B,001857.png,choice,s1857
59,"['metal construction', 'stapling mechanism', 'compact shape']","['foam block', 'photo frame', 'mouse', 'shirt', 'wooden desk']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is placed on the foam block?,"['A. The photo frame', 'B. The foam block', 'C. The wooden desk', ""D. The object's stapling mechanism""]",D,001494.png,choice,s1494
60,"['ear cups', 'headband', 'over-ear design', 'wireless', 'PlayStation logo']","['lying flat', 'wooden floor', 'empty background', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying flat on the wooden floor?,"['A. Empty background', 'B. PlayStation logo', 'C. Shadow', 'D. Wooden floor']",B,000666.png,choice,s666
61,"['container shape', 'lid', 'handheld size']","['dog paws', 'patterned carpet', 'hand holding']","['Background', 'Relative Size']",Which feature best indicates the identity of the handheld object near the dog paws?,"['A. Hand holding', ""B. The container's lid"", 'C. Dog paws', 'D. Patterned carpet']",B,001516.png,choice,s1516
62,"['sockets', 'rectangular shape', 'electrical plugs']","['bathroom sink', 'soap tube', 'tiles', 'drain']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object located on the bathroom sink?,"['A. The soap tube', 'B. The drain', ""C. The object's sockets"", 'D. The bathroom tiles']",C,001455.png,choice,s1455
63,"['lightweight', 'soft texture', 'absorbent', 'white color']","['cylindrical shape', 'on bed', 'patterned bed sheet', 'pillows']","['Background', 'Shape']",Which feature best indicates the identity of the object placed on the bed?,"['A. The patterned bed sheet', 'B. The cylindrical shape', ""C. The object's soft texture"", 'D. The colorful pillows']",C,000858.png,choice,s858
64,"['black color', 'flexible shape', 'on the floor']","['kitchen setting', 'refrigerator', 'water dispenser', 'kitchen counter']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object in the kitchen setting?,"['A. The water dispenser', 'B. The refrigerator', 'C. The kitchen counter', 'D. The black, flexible shape']",D,001093.png,choice,s1093
65,"['prongs', 'cord', 'plug end']","['toilet', 'vase', 'flowers', 'bathroom setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object held near the toilet?,"[""A. The object's prongs"", 'B. The vase with flowers', 'C. The bathroom setting', 'D. The toilet']",A,000292.png,choice,s292
66,"['flat surface', 'handles', 'metallic', 'rectangular shape']","['horizontal orientation', 'nearby step stool', 'kitchen counter', 'kitchen items']","['Background', 'Orientation']",Which feature best indicates the identity of the object found on the kitchen counter?,"['A. The step stool', ""B. The object's handles"", 'C. The kitchen items', 'D. The kitchen counter']",B,000700.png,choice,s700
67,"['handle', 'round shape', 'flat base']","['mosaic design', 'human face', 'colorful patterns', 'artistic appearance']","['Texture and Noise', 'Co-occurring Objects']",Which feature best indicates the identity of the object with a mosaic design and a handle?,"['A. The handle', 'B. The colorful patterns', 'C. The artistic appearance', 'D. The human face design']",A,002187.png,choice,s2187
68,"['thin', 'straight', 'single stick']","['wooden table', 'near pencil', 'blue object', 'furry item']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object lying on the table?,"[""A. The object's thin and straight structure"", 'B. The nearby pencil', 'C. The furry item', 'D. The blue object']",A,001002.png,choice,s1002
69,"['lens', 'strap', 'camera body']","['on a table', 'near magazines', 'near a bag', 'next to sofa']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is on the table?,"['A. The magazines', ""B. The object's lens"", 'C. The bag', 'D. The sofa']",B,000669.png,choice,s669
70,"['round shape', 'solid surface', 'white color', 'grouped together', 'natural texture']","['books', 'plant', 'dark background']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object placed among the books?,"['A. The dark background', 'B. The books', 'C. The plant', ""D. The object's natural texture""]",D,001893.png,choice,s1893
71,"['cylindrical roll', 'tape dispenser', 'adhesive material']","['small size', 'textured background', 'cylindrical shape']","['Background', 'Shape']",Which feature best indicates the identity of the small cylindrical object on the textured background?,"['A. The textured background', 'B. The small size', 'C. The adhesive material', 'D. The cylindrical shape']",C,001554.png,choice,s1554
72,"['tubular shape', 'elastic waistband', 'tight fit', 'stretchable fabric', 'long length']","['laid out flat', 'patterned appearance', 'on a couch', 'near books', 'near a pen']","['Background', 'Orientation']",Which feature best indicates the identity of the patterned object laid out flat on the couch?,"['A. The object’s tubular shape', 'B. The pen on the table', 'C. The couch', 'D. The nearby books']",A,001105.png,choice,s1105
73,"['cylindrical shape', 'metallic surface', 'handle', 'lid']","['background vegetation', 'metallic texture', 'red berries', 'outdoor setting']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the metallic object with a handle?,"['A. The outdoor setting', 'B. The red berries', 'C. The background vegetation', ""D. The object's handle""]",D,002281.png,choice,s2281
74,"['handle', 'blade', 'elongated shape']","['bed', 'blanket', 'indoor setting', 'lighting']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the bed?,"['A. The bed', ""B. The object's blade"", 'C. The blanket', 'D. Indoor setting']",B,000899.png,choice,s899
75,"['branding', 'cap design', 'transparent bottle']","['nearby bottles', 'electrical outlet', 'wall pattern', 'desk surface']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the electrical outlet?,"[""A. The object's branding"", 'B. The wall pattern', 'C. The electrical outlet', 'D. The desk surface']",A,001328.png,choice,s1328
76,"['bottom-wear', 'length', 'loose fit']","['dark pattern', 'hanging', 'low lighting']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object hanging with dark patterns?,"['A. The hanging position', 'B. The dark pattern', 'C. Low lighting', ""D. The object's bottom-wear nature""]",D,000229.png,choice,s229
77,"['slender shape', 'cylindrical', 'pointed end']","['red color', 'held by hand', 'plain background']","['Colorization', 'Background']",Which feature best indicates the identity of the object that is red and held by hand?,"['A. The red color', 'B. The plain background', 'C. The hand holding it', ""D. The object's slender shape""]",D,000938.png,choice,s938
78,"['denim fabric', 'pockets', 'belt loops', 'seams', 'zipper']","['on bed', 'near pillow', 'leafy bedspread', 'horizontal position', 'dim lighting']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying horizontally on the bed?,"[""A. The object's denim fabric"", 'B. The leafy bedspread', 'C. The bed sheet', 'D. The pillow beside it']",A,000131.png,choice,s131
79,"['bowl', 'long handle', 'metallic', 'concave', 'single piece']","['oven mitts', 'frying pan', 'spatula', 'messy stove', 'lighting']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object placed horizontally on the stove?,"['A. The messy stove', ""B. The object's long handle"", 'C. The frying pan', 'D. The oven mitts']",B,001292.png,choice,s1292
80,"['specific label', 'dispensing mechanism', 'cylindrical shape']","['granite countertop', 'cylindrical shape', 'small size', 'near comb', 'overhead view']","['Background', 'Shape']",Which feature best indicates the identity of the object on the granite countertop?,"['A. The granite countertop', 'B. The specific label', ""C. The object's cylindrical shape"", 'D. The nearby comb']",B,001643.png,choice,s1643
81,"['thin', 'long', 'tapered', 'single stick']","['bathroom setting', 'shower curtain', 'laundry basket', 'hand holding object']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held in the bathroom?,"['A. The laundry basket', 'B. The shower curtain', 'C. The hand', ""D. The object's tapered shape""]",D,001096.png,choice,s1096
82,"['sturdy build', 'small size', 'legs', 'flat top']","['cloth on top', 'between two beds', 'low lighting', 'tile floor']","['Co-occurring Objects', 'Lighting and Shadows']",Which feature best indicates the identity of the object placed between two beds?,"['A. The tile floor', 'B. The cloth on top', ""C. The object's sturdy build"", 'D. The low lighting']",C,000271.png,choice,s271
83,"['cylindrical shape', 'container', 'lid']","['handheld', 'color contrast', 'shadow', 'background wall']","['Colorization', 'Orientation']",Which feature best indicates the identity of the handheld object with a contrasting lid?,"['A. The background wall', ""B. The object's cylindrical shape"", 'C. The shadow on the wall', 'D. The hand holding it']",B,000864.png,choice,s864
84,"['plug', 'insulated wire', 'standardized connector']","['shoes', 'wooden floor', 'shadow', 'short length']","['Background', 'Orientation']",Which feature best indicates the identity of the cable present on the floor?,"['A. The wooden floor', 'B. The shadow', 'C. The plug', 'D. The shoes']",C,001288.png,choice,s1288
85,"['fabric', 'shape', 'hemline']","['bathroom', 'hand', 'toilet', 'rug']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held near the bathroom items?,"['A. The bathroom', ""B. The object's fabric"", 'C. The rug', 'D. The toilet']",B,000870.png,choice,s870
86,"['body shape', 'snout', 'legs', 'dark fur']","['motion blur', 'green background', 'forest setting']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the animal in the blurred forest setting?,"['A. The green background', 'B. The motion blur', 'C. The forest setting', ""D. The animal's body shape""]",D,002044.png,choice,s2044
87,"['medical supplies', 'first aid items', 'plastic container', 'organized', 'portable']","['transparent container', 'miscellaneous items', 'on tiled floor', 'hand holding', 'white lid']","['Background', 'Shape']",Which feature best indicates the identity of the transparent container on the tiled floor?,"['A. The presence of medical supplies', 'B. The miscellaneous items inside', 'C. The hand holding it', 'D. The white lid']",A,001620.png,choice,s1620
88,"['oval shape', 'white color', 'fragile', 'smooth surface']","['yellow container', 'compartments', 'marble floor', 'shadows']","['Background', 'Shape']",Which feature best indicates the identity of the objects inside the yellow container?,"['A. The marble floor', 'B. The compartments', 'C. The oval shape and white color', 'D. The yellow container']",C,001879.png,choice,s1879
89,"['blade', 'handle', 'straight edge']","['striped fabric', 'flat shape', 'small size', 'dark color']","['Background', 'Shape']",Which feature best indicates the identity of the object on the striped fabric?,"['A. Its flat shape', 'B. The striped fabric', 'C. Its small size', 'D. Its blade']",D,000585.png,choice,s585
90,"['glass material', 'ribbed texture', 'translucent', 'filled with salt']","['hand holding', 'dim lighting', 'red surface', 'angled orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held at an angle?,"['A. The dim lighting', ""B. The object's ribbed texture"", 'C. The hand holding it', 'D. The red surface']",B,001084.png,choice,s1084
