model,question_id,question,korean,question_type,acc,InternVL2_5-1B,InternVL2_5-2B,InternVL2_5-4B,InternVL2_5-8B,InternVL3-2B,InternVL3-8B,Qwen2.5-VL-3B-Instruct,Qwen2.5-VL-7B-Instruct,gemma-3-4b-it,mean_acc
38,82259002,"Is the person on the ground?
그 사람이 바닥에 있나요?",그 사람이 바닥에 있나요?,is the person,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
39,329711002,"Is there any work equipment in the photo?
사진에 작업 장비가 있나요?",사진에 작업 장비가 있나요?,is there,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
40,175535001,"Is there lettuce on the plate?
접시에 상추가 있나요?",접시에 상추가 있나요?,is there,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0
41,74711003,"Is there lilies in the water?
물에 백합이 있나요?",물에 백합이 있나요?,is there,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,87.5
42,391837005,"IS there water in the background?
배경에 물이 있나요?",배경에 물이 있나요?,is there,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,100.0,12.5
43,509826033,"Is there snow?
눈이 있나요?",눈이 있나요?,is there,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,70.0
44,215652000,"Was this picture taken during the day or night?
이 사진은 낮에 찍은 건가요, 아니면 밤에 찍은 건가요?","이 사진은 낮에 찍은 건가요, 아니면 밤에 찍은 건가요?",was,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,30.0
45,143560011,"Was this picture taken in the daytime?
이 사진은 낮에 찍혔나요?",이 사진은 낮에 찍혔나요?,was,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,60.0
46,135486006,"What are they carrying?
그들은 무엇을 운반하고 있습니까?",그들은 무엇을 운반하고 있습니까?,what are,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,425933004,"What are pedestrians asked not to do on the white sign?
흰색 표지판에서 보행자에게 하지 말아야 할 일은 무엇인가요?",흰색 표지판에서 보행자에게 하지 말아야 할 일은 무엇인가요?,what are,,0.0,0.0,100.0,100.0,,0.0,100.0,100.0,0.0,50.0
48,408201006,"What are they playing?
그들은 무엇을 하고 있나요?",그들은 무엇을 하고 있나요?,what are,,0.0,0.0,66.66666667,0.0,,0.0,0.0,0.0,0.0,8.333333333
49,574537003,"What are on the child's feet?
아이의 발에는 무엇이 있나요?",아이의 발에는 무엇이 있나요?,what are,,0.0,0.0,100.0,0.0,,100.0,100.0,100.0,100.0,62.5
50,479075003,"What are these animals?
이 동물들은 무엇인가요?",이 동물들은 무엇인가요?,what are,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
51,487131002,"What color are these trucks?
이 트럭들은 어떤 색인가요?",이 트럭들은 어떤 색인가요?,what color,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,487236000,"What color grass is the giraffe standing in?
기린은 어떤 색의 풀밭에 서 있나요?",기린은 어떤 색의 풀밭에 서 있나요?,what color,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
53,58539001,"What color are their jackets?
그들의 재킷은 어떤 색인가요?",그들의 재킷은 어떤 색인가요?,what color,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333,83.33333333
54,499588001,"What color thread hangs down the right side?
오른쪽에는 어떤 색의 실이 매달려 있나요?",오른쪽에는 어떤 색의 실이 매달려 있나요?,what color,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
55,525162004,"What color boat is the man riding in?
남자가 타고 있는 배는 어떤 색인가요?",남자가 타고 있는 배는 어떤 색인가요?,what color,,100.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,25.0
56,252625003,"What color are the crates against the wall?
벽에 걸린 상자들은 어떤 색인가요?",벽에 걸린 상자들은 어떤 색인가요?,what color are the,33.33333333,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666667
57,512760019,"What color are the cabinets?
캐비닛은 어떤 색인가요?",캐비닛은 어떤 색인가요?,what color are the,,100.0,100.0,0.0,100.0,,100.0,0.0,0.0,0.0,50.0
58,414711003,"What color are the clock's numerals?
시계의 숫자는 어떤 색인가요?",시계의 숫자는 어떤 색인가요?,what color are the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
59,429754001,"What color are the scissors?
가위는 어떤 색인가요?",가위는 어떤 색인가요?,what color are the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,364157004,"What color are the curtains?
커튼은 어떤 색인가요?",커튼은 어떤 색인가요?,what color are the,,100.0,0.0,0.0,0.0,,0.0,100.0,0.0,100.0,37.5
61,346577000,"What color is his shirt?
그의 셔츠는 무슨 색인가요?",그의 셔츠는 무슨 색인가요?,what color is,,33.33333333,100.0,0.0,33.33333333,,0.0,33.33333333,100.0,33.33333333,41.66666667
62,443453003,"What color is her dress?
그녀의 드레스는 어떤 색인가요?",그녀의 드레스는 어떤 색인가요?,what color is,,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,12.5
63,305329002,"What color is his helmet?
그의 헬멧은 어떤 색인가요?",그의 헬멧은 어떤 색인가요?,what color is,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,60.0
64,159842001,"What color is her headband?
그녀의 머리띠는 어떤 색인가요?",그녀의 머리띠는 어떤 색인가요?,what color is,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
65,22341001,"What color is her top?
그녀의 상의는 무슨 색인가요?",그녀의 상의는 무슨 색인가요?,what color is,,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,100.0,25.0
66,40986004,"What is in the bottle?
병 안에 무엇이 들어 있나요?",병 안에 무엇이 들어 있나요?,what is in the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
67,254237002,"What is in the vase?
꽃병 안에 무엇이 있습니까?",꽃병 안에 무엇이 있습니까?,what is in the,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
68,145318001,"What is in the white plastic covered container behind the bowl?
그릇 뒤에 있는 흰색 플라스틱 뚜껑이 있는 용기에는 무엇이 들어 있나요?",그릇 뒤에 있는 흰색 플라스틱 뚜껑이 있는 용기에는 무엇이 들어 있나요?,what is in the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,427135026,"What is in the man's hand?
남자의 손에는 무엇이 있나요?",남자의 손에는 무엇이 있나요?,what is in the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
70,118507000,"What is in the far back room?
맨 뒷방에는 무엇이 있나요?",맨 뒷방에는 무엇이 있나요?,what is in the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
71,520012001,"What is on the left plate?
왼쪽 접시에는 무엇이 있습니까?",왼쪽 접시에는 무엇이 있습니까?,what is on the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
72,55772003,"What is on the plate?
접시 위에 무엇이 있나요?",접시 위에 무엇이 있나요?,what is on the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
73,434494018,"What is on the man's head?
남자의 머리에는 무엇이 있나요?",남자의 머리에는 무엇이 있나요?,what is on the,,0.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,75.0
74,133515003,"What is on the table?
테이블 위에 무엇이 있나요?",테이블 위에 무엇이 있나요?,what is on the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,53838004,"What is on the plane?
비행기에 무엇이 있나요?",비행기에 무엇이 있나요?,what is on the,,0.0,0.0,0.0,0.0,,0.0,33.33333333,0.0,0.0,4.166666667
76,430774001,"What time is shown on the clock?
시계에는 몇 시가 표시되나요?",시계에는 몇 시가 표시되나요?,what time,,0.0,0.0,0.0,100.0,,0.0,100.0,0.0,0.0,25.0
77,566026000,"What time is it?
지금 몇 시예요?",지금 몇 시예요?,what time,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
78,367452003,"What time is it?
지금 몇 시예요?",지금 몇 시예요?,what time,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
79,580621000,"What type of establishment are these people likely seated?
이 사람들은 어떤 종류의 시설에 앉을 가능성이 높습니까?",이 사람들은 어떤 종류의 시설에 앉을 가능성이 높습니까?,what type of,,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,87.5
80,52161010,"What type of shoes is this person wearing?
이 사람은 어떤 종류의 신발을 신고 있나요?",이 사람은 어떤 종류의 신발을 신고 있나요?,what type of,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0
81,506943005,"What type of building can this scene be found in?
이 장면은 어떤 유형의 건물에서 찾을 수 있나요?",이 장면은 어떤 유형의 건물에서 찾을 수 있나요?,what type of,33.33333333,66.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
82,48153002,"What type of pants is this woman wearing?
이 여자는 어떤 종류의 바지를 입고 있나요?",이 여자는 어떤 종류의 바지를 입고 있나요?,what type of,,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,87.5
83,290981008,"What type of animal are these?
이것들은 어떤 종류의 동물인가요?",이것들은 어떤 종류의 동물인가요?,what type of,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,12.5
84,252986000,"Where is the bench?
벤치는 어디에 있나요?",벤치는 어디에 있나요?,where is the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,524577024,"Where is the clock located?
시계는 어디에 있나요?",시계는 어디에 있나요?,where is the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
86,304044004,"Where is the school bus going?
스쿨버스는 어디로 가나요?",스쿨버스는 어디로 가나요?,where is the,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,70.0
87,154202010,"Where is the phone?
전화기가 어디 있나요?",전화기가 어디 있나요?,where is the,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
88,94823002,"Where is the dog?
개는 어디에 있어요?",개는 어디에 있어요?,where is the,,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,12.5
89,113588003,"Who is using the laptop?
누가 노트북을 사용하고 있나요?",누가 노트북을 사용하고 있나요?,who is,0.0,0.0,0.0,100.0,100.0,33.33333333,33.33333333,0.0,100.0,0.0,36.66666667
90,136140000,"Who is wearing glasses?
누가 안경을 쓰고 있나요?",누가 안경을 쓰고 있나요?,who is,0.0,66.66666667,0.0,66.66666667,66.66666667,0.0,66.66666667,0.0,0.0,66.66666667,33.33333333
91,88859004,"Who is the pitcher?
투수는 누구인가요?",투수는 누구인가요?,who is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,273420002,"Who is the man talking to on the phone?
남자가 전화로 누구와 이야기하고 있습니까?",남자가 전화로 누구와 이야기하고 있습니까?,who is,,0.0,0.0,0.0,33.33333333,,33.33333333,0.0,33.33333333,0.0,12.5
93,490280012,"Who is in the photo?
사진 속에는 누구가 있나요?",사진 속에는 누구가 있나요?,who is,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
94,241340000,"Why is this dog fighting over a Frisbee?
이 개가 프리스비 때문에 싸우는 이유는 무엇인가요?",이 개가 프리스비 때문에 싸우는 이유는 무엇인가요?,why,,0.0,0.0,0.0,100.0,,100.0,0.0,0.0,0.0,25.0
95,57508001,"Why are there straps on the suitcase?
여행 가방에 끈이 있는 이유는 무엇인가요?",여행 가방에 끈이 있는 이유는 무엇인가요?,why,0.0,0.0,0.0,33.33333333,33.33333333,0.0,0.0,0.0,33.33333333,0.0,10.0
96,80306002,"Why is she shiny?
그녀는 왜 반짝반짝 빛나요?",그녀는 왜 반짝반짝 빛나요?,why,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
97,151978002,"Why are the lamps lit?
램프가 켜진 이유는 무엇인가요?",램프가 켜진 이유는 무엇인가요?,why,,33.33333333,0.0,0.0,0.0,,0.0,0.0,0.0,33.33333333,8.333333333
98,322482003,"Why doesn't he need his sunglasses on right now?
그는 왜 지금 당장 선글라스를 쓰지 않나요?",그는 왜 지금 당장 선글라스를 쓰지 않나요?,why,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
